,동이름,건물이름,도로주소,주용도,기타용도,건축면적,대지면적
53,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
54,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
55,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
56,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
57,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
58,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
59,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
60,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
61,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
62,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
63,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
64,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
65,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
66,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
67,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
68,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
69,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
70,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
71,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
72,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
73,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
74,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
75,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
76,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,도시형생활주택소형주택,777.9131,2403.664958118053
77,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
78,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
79,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
80,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
81,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
82,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
83,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
84,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
85,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
86,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
87,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
88,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
89,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
90,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
91,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
92,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
93,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
94,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
95,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
96,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
97,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
98,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
99,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
100,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
101,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
102,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
103,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
104,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
105,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
106,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
107,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
108,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
109,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
110,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
111,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
112,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
113,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
114,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
115,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
116,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
117,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
118,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
119,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
120,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
121,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
122,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
123,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
124,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
125,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
126,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
127,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
128,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
129,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
130,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
131,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
132,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
133,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
134,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
135,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
136,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
137,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
138,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
139,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
140,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
141,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
142,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
143,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
144,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
145,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
146,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
147,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
148,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
149,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
150,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
151,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
152,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
153,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
154,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
155,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
156,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
157,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
158,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
159,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
160,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
161,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
162,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
163,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
164,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
165,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
166,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
167,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
168,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
169,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
170,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
171,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
172,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
173,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
174,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
175,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,"아파트(85세대),판매시설(57호),근린생활시설(9호)",1890.595,2806.7
