구,동,평균직장인구
은평구,갈현1동,24.666666666666664
은평구,갈현2동,32.83333333333333
은평구,구산동,32.16666666666667
은평구,대조동,40.5
은평구,응암1동,34.16666666666667
은평구,응암2동,17.833333333333336
은평구,응암3동,32.33333333333333
은평구,역촌동,36.33333333333333
은평구,신사1동,25.166666666666664
은평구,신사2동,17.166666666666664
은평구,증산동,25.0
은평구,수색동,11.5
은평구,진관동,3.5
서대문구,천연동,17.166666666666664
서대문구,북아현동,27.666666666666664
서대문구,충현동,220.66666666666669
서대문구,신촌동,80.66666666666666
서대문구,연희동,29.5
서대문구,홍제1동,12.0
서대문구,홍제3동,14.166666666666668
서대문구,홍제2동,16.666666666666664
서대문구,홍은1동,9.166666666666668
서대문구,홍은2동,17.166666666666664
서대문구,남가좌1동,28.0
서대문구,남가좌2동,20.333333333333336
서대문구,북가좌1동,30.5
서대문구,북가좌2동,32.66666666666667
마포구,아현동,254.16666666666669
마포구,공덕동,122.66666666666666
마포구,도화동,174.83333333333331
마포구,용강동,197.0
마포구,대흥동,82.66666666666666
마포구,염리동,145.0
마포구,신수동,47.33333333333333
마포구,서강동,52.0
마포구,서교동,299.16666666666663
마포구,합정동,61.16666666666667
마포구,망원1동,26.666666666666664
마포구,망원2동,22.0
마포구,연남동,74.5
마포구,성산1동,108.0
마포구,성산2동,48.0
마포구,상암동,46.33333333333333
양천구,목1동,90.16666666666666
양천구,목2동,24.5
양천구,목3동,45.66666666666667
양천구,목4동,36.33333333333333
양천구,목5동,30.333333333333336
양천구,신월1동,42.16666666666667
양천구,신월2동,36.0
양천구,신월3동,28.0
양천구,신월4동,42.5
양천구,신월5동,51.5
양천구,신월6동,28.333333333333336
양천구,신월7동,25.5
양천구,신정1동,37.16666666666667
양천구,신정2동,31.5
양천구,신정3동,22.5
양천구,신정4동,77.16666666666666
양천구,신정6동,58.66666666666667
양천구,신정7동,17.166666666666664
강서구,염창동,62.66666666666667
강서구,등촌1동,459.1666666666666
강서구,등촌2동,25.666666666666664
강서구,등촌3동,184.8333333333333
강서구,화곡1동,40.66666666666667
강서구,화곡2동,34.83333333333333
강서구,화곡3동,46.66666666666667
강서구,화곡4동,23.0
강서구,화곡본동,23.5
강서구,화곡6동,96.16666666666666
강서구,화곡8동,30.166666666666664
강서구,가양1동,36.5
강서구,가양2동,22.666666666666664
강서구,가양3동,82.33333333333334
강서구,발산1동,24.666666666666664
강서구,우장산동,35.66666666666667
강서구,공항동,37.66666666666667
강서구,방화1동,72.5
강서구,방화2동,8.0
강서구,방화3동,17.0
구로구,신도림동,69.66666666666666
구로구,구로1동,24.166666666666664
구로구,구로2동,150.33333333333331
구로구,구로3동,771.8333333333333
구로구,구로4동,50.16666666666667
구로구,구로5동,195.8333333333333
구로구,가리봉동,37.0
구로구,고척1동,56.66666666666667
구로구,고척2동,19.666666666666664
구로구,개봉1동,26.166666666666664
구로구,개봉2동,17.666666666666664
구로구,개봉3동,58.16666666666667
구로구,오류1동,40.5
구로구,오류2동,10.5
구로구,수궁동,16.0
금천구,가산동,604.6666666666667
금천구,독산1동,87.0
금천구,독산2동,27.666666666666664
금천구,독산3동,49.0
금천구,독산4동,29.666666666666664
금천구,시흥1동,67.5
금천구,시흥2동,11.5
금천구,시흥3동,66.5
금천구,시흥4동,11.0
금천구,시흥5동,14.0
영등포구,영등포본동,32.16666666666667
영등포구,영등포동,170.83333333333331
영등포구,여의동,415.1666666666666
영등포구,당산1동,234.16666666666669
영등포구,당산2동,199.0
영등포구,도림동,39.16666666666667
영등포구,문래동,247.66666666666669
영등포구,양평1동,220.8333333333333
영등포구,양평2동,125.5
영등포구,신길1동,52.0
영등포구,신길3동,31.166666666666664
영등포구,신길4동,38.0
영등포구,신길5동,25.166666666666664
영등포구,신길6동,41.0
영등포구,신길7동,46.83333333333333
영등포구,대림1동,54.0
영등포구,대림2동,40.16666666666667
영등포구,대림3동,85.83333333333334
동작구,노량진1동,22.5
동작구,노량진2동,96.33333333333334
동작구,상도1동,32.5
동작구,상도2동,36.16666666666667
동작구,상도3동,20.666666666666664
동작구,상도4동,18.666666666666664
동작구,흑석동,28.666666666666664
동작구,사당1동,83.33333333333334
동작구,사당2동,12.5
동작구,사당3동,30.0
동작구,사당4동,24.0
동작구,사당5동,15.0
동작구,대방동,62.16666666666667
동작구,신대방1동,44.16666666666667
동작구,신대방2동,233.0
관악구,보라매동,71.83333333333334
관악구,청림동,22.833333333333336
관악구,성현동,24.666666666666664
관악구,행운동,51.0
관악구,낙성대동,51.16666666666667
관악구,청룡동,65.5
관악구,은천동,48.5
관악구,중앙동,52.33333333333333
관악구,인헌동,34.83333333333333
관악구,남현동,9.833333333333332
관악구,서원동,61.66666666666667
