,구,동,평균직장인구
0,종로구,청운효자동,44.0
1,종로구,사직동,410.0
2,종로구,삼청동,42.0
3,종로구,부암동,19.0
4,종로구,평창동,28.0
5,종로구,무악동,13.0
6,종로구,교남동,30.0
7,종로구,가회동,208.0
8,종로구,종로1.2.3.4가동,401.0
9,종로구,종로5.6가동,260.0
10,종로구,이화동,58.0
11,종로구,혜화동,65.0
12,종로구,창신1동,44.0
13,종로구,창신2동,13.0
14,종로구,창신3동,14.0
15,종로구,숭인1동,19.0
16,종로구,숭인2동,54.0
17,중구,소공동,845.0
18,중구,회현동,646.0
19,중구,명동,733.0
20,중구,필동,119.0
21,중구,장충동,103.0
22,중구,광희동,571.0
23,중구,을지로동,259.0
24,중구,신당동,60.0
25,중구,다산동,123.0
26,중구,약수동,347.0
27,중구,청구동,90.0
28,중구,신당5동,29.0
29,중구,동화동,46.0
30,중구,황학동,52.0
31,중구,중림동,89.0
32,용산구,후암동,27.0
33,용산구,용산2가동,9.0
34,용산구,남영동,269.0
35,용산구,청파동,71.0
36,용산구,원효로1동,78.0
37,용산구,원효로2동,51.0
38,용산구,효창동,35.0
39,용산구,용문동,93.0
40,용산구,한강로동,139.0
41,용산구,이촌1동,51.0
42,용산구,이촌2동,24.0
43,용산구,이태원1동,225.0
44,용산구,이태원2동,14.0
45,용산구,한남동,131.0
46,용산구,서빙고동,67.0
47,용산구,보광동,12.0
48,성동구,왕십리2동,33.0
49,성동구,왕십리도선동,83.0
50,성동구,마장동,71.0
51,성동구,사근동,22.0
52,성동구,행당1동,42.0
53,성동구,행당2동,6.0
54,성동구,응봉동,31.0
55,성동구,금호1가동,52.0
56,성동구,금호2.3가동,11.0
57,성동구,금호4가동,14.0
58,성동구,옥수동,39.0
59,성동구,성수1가1동,16.0
60,성동구,성수1가2동,63.0
61,성동구,성수2가1동,89.0
62,성동구,성수2가3동,227.0
63,성동구,송정동,21.0
64,성동구,용답동,20.0
65,광진구,화양동,24.0
66,광진구,군자동,32.0
67,광진구,중곡1동,91.0
68,광진구,중곡2동,52.0
69,광진구,중곡3동,25.0
70,광진구,중곡4동,22.0
71,광진구,능동,21.0
72,광진구,광장동,58.0
73,광진구,자양1동,199.0
74,광진구,자양2동,31.0
75,광진구,자양3동,29.0
76,광진구,자양4동,11.0
77,광진구,구의1동,66.0
78,광진구,구의2동,31.0
79,광진구,구의3동,89.0
80,동대문구,용신동,150.0
81,동대문구,제기동,46.0
82,동대문구,전농1동,13.0
83,동대문구,전농2동,41.0
84,동대문구,답십리1동,94.0
85,동대문구,답십리2동,33.0
86,동대문구,장안1동,79.0
87,동대문구,장안2동,56.0
88,동대문구,청량리동,41.0
89,동대문구,회기동,9.0
90,동대문구,휘경1동,30.0
91,동대문구,휘경2동,36.0
92,동대문구,이문1동,40.0
93,동대문구,이문2동,32.0
94,중랑구,면목2동,20.0
95,중랑구,면목4동,20.0
96,중랑구,면목5동,18.0
97,중랑구,면목본동,21.0
98,중랑구,면목7동,12.0
99,중랑구,면목3.8동,22.0
100,중랑구,상봉1동,27.0
101,중랑구,상봉2동,81.0
102,중랑구,중화1동,31.0
103,중랑구,중화2동,16.0
104,중랑구,묵1동,22.0
105,중랑구,묵2동,30.0
106,중랑구,망우본동,11.0
107,중랑구,망우3동,11.0
108,중랑구,신내1동,18.0
109,중랑구,신내2동,40.0
110,성북구,성북동,71.0
111,성북구,삼선동,72.0
112,성북구,동선동,184.0
113,성북구,돈암1동,50.0
114,성북구,돈암2동,19.0
115,성북구,안암동,36.0
116,성북구,보문동,126.0
117,성북구,정릉1동,32.0
118,성북구,정릉2동,15.0
119,성북구,정릉3동,8.0
120,성북구,정릉4동,6.0
121,성북구,길음1동,79.0
122,성북구,길음2동,10.0
123,성북구,종암동,148.0
124,성북구,월곡1동,30.0
125,성북구,월곡2동,36.0
126,성북구,장위1동,19.0
127,성북구,장위2동,26.0
128,성북구,장위3동,18.0
129,성북구,석관동,21.0
130,강북구,삼양동,11.0
131,강북구,미아동,22.0
132,강북구,송중동,21.0
133,강북구,송천동,20.0
134,강북구,삼각산동,21.0
135,강북구,번1동,41.0
136,강북구,번2동,14.0
137,강북구,번3동,12.0
138,강북구,수유1동,11.0
139,강북구,수유2동,38.0
140,강북구,수유3동,47.0
141,강북구,우이동,3.0
142,강북구,인수동,15.0
143,도봉구,창1동,16.0
144,도봉구,창2동,38.0
145,도봉구,창3동,12.0
146,도봉구,창4동,24.0
147,도봉구,창5동,105.0
148,도봉구,도봉1동,3.0
149,도봉구,도봉2동,18.0
150,도봉구,쌍문1동,15.0
151,도봉구,쌍문2동,27.0
152,도봉구,쌍문3동,40.0
