구,동,평균거주인구
서대문구,남가좌1동,360.33333333333337
서대문구,남가좌2동,288.5
서대문구,북가좌1동,317.33333333333337
서대문구,북가좌2동,438.5
마포구,아현동,311.5
마포구,공덕동,419.5
마포구,도화동,262.5
마포구,용강동,219.5
마포구,대흥동,139.66666666666669
마포구,염리동,223.0
마포구,신수동,232.3333333333333
마포구,서강동,133.83333333333331
마포구,서교동,149.66666666666669
마포구,합정동,106.33333333333334
마포구,망원1동,191.8333333333333
마포구,망원2동,163.83333333333331
마포구,연남동,260.83333333333337
마포구,성산1동,233.5
마포구,성산2동,203.5
마포구,상암동,43.0
양천구,목1동,193.3333333333333
양천구,목2동,306.16666666666663
양천구,목3동,414.5
양천구,목4동,474.5
양천구,목5동,212.0
양천구,신월1동,354.16666666666663
양천구,신월2동,374.5
양천구,신월3동,181.5
양천구,신월4동,414.5
양천구,신월5동,300.83333333333337
양천구,신월6동,158.33333333333331
양천구,신월7동,184.16666666666669
양천구,신정1동,312.0
양천구,신정2동,355.0
양천구,신정3동,175.83333333333331
양천구,신정4동,355.83333333333337
양천구,신정6동,252.8333333333333
양천구,신정7동,263.66666666666663
강서구,염창동,208.66666666666669
강서구,등촌1동,346.33333333333337
강서구,등촌2동,237.3333333333333
강서구,등촌3동,325.0
강서구,화곡1동,451.0
강서구,화곡2동,440.33333333333337
강서구,화곡3동,437.83333333333337
강서구,화곡4동,266.5
강서구,화곡본동,359.16666666666663
강서구,화곡6동,238.8333333333333
강서구,화곡8동,467.83333333333337
강서구,가양1동,63.66666666666666
강서구,가양2동,160.16666666666669
강서구,가양3동,239.5
강서구,발산1동,129.83333333333334
강서구,우장산동,365.5
강서구,공항동,26.5
강서구,방화1동,325.0
강서구,방화2동,43.0
강서구,방화3동,128.33333333333334
구로구,신도림동,274.5
구로구,구로1동,216.5
구로구,구로2동,147.5
구로구,구로3동,244.3333333333333
구로구,구로4동,412.83333333333337
구로구,구로5동,284.5
구로구,가리봉동,244.3333333333333
구로구,고척1동,221.3333333333333
구로구,고척2동,287.33333333333337
구로구,개봉1동,287.0
구로구,개봉2동,397.1666666666666
구로구,개봉3동,274.0
구로구,오류1동,304.16666666666663
구로구,오류2동,102.83333333333334
구로구,수궁동,94.0
금천구,가산동,87.33333333333334
금천구,독산1동,186.8333333333333
금천구,독산2동,347.16666666666663
금천구,독산3동,263.0
금천구,독산4동,276.66666666666663
금천구,시흥1동,244.66666666666669
금천구,시흥2동,200.16666666666669
금천구,시흥3동,87.83333333333334
금천구,시흥4동,274.5
금천구,시흥5동,137.33333333333331
영등포구,영등포본동,282.83333333333337
영등포구,영등포동,161.66666666666669
영등포구,여의동,49.5
영등포구,당산1동,277.66666666666663
영등포구,당산2동,228.0
영등포구,도림동,354.33333333333337
영등포구,문래동,182.5
영등포구,양평1동,196.8333333333333
영등포구,양평2동,87.66666666666666
영등포구,신길1동,237.0
영등포구,신길3동,313.0
영등포구,신길4동,324.66666666666663
영등포구,신길5동,223.16666666666669
영등포구,신길6동,270.66666666666663
영등포구,신길7동,261.5
영등포구,대림1동,275.0
영등포구,대림2동,225.8333333333333
영등포구,대림3동,266.83333333333337
동작구,노량진1동,172.33333333333331
동작구,노량진2동,237.3333333333333
동작구,상도1동,312.33333333333337
동작구,상도2동,334.83333333333337
동작구,상도3동,390.0
동작구,상도4동,314.33333333333337
동작구,흑석동,150.0
동작구,사당1동,365.5
동작구,사당2동,92.16666666666666
동작구,사당3동,273.83333333333337
동작구,사당4동,334.33333333333337
동작구,사당5동,196.3333333333333
동작구,대방동,251.8333333333333
동작구,신대방1동,357.16666666666663
