"구별","동별","주차장면수","인구밀도","평균교통량","평균유동인구","평균직장인구","평균거주인구","차량등록대수","주민인구","면적","승객수","구별_더미"
"강서구","가양3동",5567,29356,1248.82774980472,25190.8333333333,47,224,7575,14678,0.5,733804,4
"강서구","공항동",25818,2845,460.283372213582,3659.33333333333,30,27,11520,30927,10.87,5656682,4
"강서구","등촌1동",13600,39048,1248.82774980472,75359.8333333333,133,371,9259,24991,0.64,4798401,4
"강서구","등촌2동",9611,21582,1248.82774980472,46389.1666666667,55,232,6696,19855,0.92,2514525,4
"강서구","등촌3동",17670,38006,1248.82774980472,55491.5,146,297,9117,30025,0.79,10756283,4
"강서구","발산1동",29360,12325,988.56091516828,19081.6666666667,11,124,13981,36236,2.94,8361847,4
"강서구","방화1동",14206,28953,1248.82774980472,53042.3333333333,67,312,14972,42851,1.48,5860869,4
"강서구","방화2동",15923,3646,2787.59321855931,6112.83333333333,6,42,9349,23371,6.41,12211371,4
"강서구","방화3동",8603,8841,1248.82774980472,13549,26,120,7336,22544,2.55,2665736,4
"강서구","염창동",20668,23924,1248.82774980472,43429.1666666667,100,214,15499,41628,1.74,4548188,4
"강서구","우장산동",19795,31532,1248.82774980472,54566.5,49,344,13841,42883,1.36,10499278,4
"강서구","화곡1동",20220,47006,1248.82774980472,152157,42,428,15999,52647,1.12,24771328,4
"강서구","화곡2동",6412,39522,1248.82774980472,86197.8333333333,34,391,4832,17785,0.45,1622771,4
"강서구","화곡3동",9879,40760,1248.82774980472,72954.1666666667,103,416,6431,21603,0.53,1425640,4
"강서구","화곡4동",8090,25017,1248.82774980472,52201.3333333333,32,244,5844,20514,0.82,1760106,4
"강서구","화곡6동",14487,22795,1248.82774980472,49376.6666666667,104,234,7847,25303,1.11,4825927,4
"강서구","화곡8동",8322,46066,758.873493277701,147860,36,437,6098,24415,0.53,2845792,4
"강서구","화곡본동",12732,34817,1248.82774980472,92905.5,30,381,9200,34121,0.98,2982363,4
"관악구","낙성대동",7295,7898,1044.85391736156,21261.3333333333,44,67,3958,17928,2.27,5321774,6
"관악구","난곡동",6325,27791,1044.85391736156,68298,15,278,6307,26679,0.96,3710853,6
"관악구","난향동",5626,18813,1044.85391736156,19595.5,17,201,4838,15050,0.8,1942662,6
"관악구","남현동",7589,5554,1044.85391736156,14060.5,9,44,4997,18163,3.27,23832091,6
"관악구","대학동",7680,3169,1044.85391736156,8503.33333333333,4,30,4922,26301,8.3,9118250,6
"관악구","미성동",10039,22219,1044.85391736156,41204,27,228,8366,30662,1.38,5231734,6
"관악구","보라매동",8659,32447,1044.85391736156,48372.3333333333,24,306,6187,24660,0.76,3724635,6
"관악구","삼성동",5988,7760,1044.85391736156,17880.1666666667,7,92,5884,20642,2.66,3374736,6
"관악구","서림동",5825,24607,1044.85391736156,45142.8333333333,18,260,5487,24361,0.99,4096358,6
"관악구","서원동",6791,36171,1044.85391736156,82513,45,348,5087,23511,0.65,28336124,6
"관악구","성현동",11815,42397,1044.85391736156,69778.3333333333,105,480,8323,28830,0.68,3103820,6
"관악구","신림동",6791,44217,293.247015107212,162758,38,430,4578,23877,0.54,7432318,6
"관악구","신사동",6735,38623,1044.853917,112582.666666667,69,372,5117,24719,0.64,10187282,6
"관악구","신원동",3668,33855,1044.85391736156,120086.333333333,18,330,3312,18620,0.55,907188,6
"관악구","은천동",11107,42508,1044.85391736156,119790.5,63,457,8686,33156,0.78,4703071,6
"관악구","인헌동",6813,24184,1044.85391736156,94934,48,359,5909,26119,1.08,11293378,6
"관악구","조원동",7215,30582,1044.85391736156,92442.8333333333,50,268,4995,20490,0.67,8792256,6
"관악구","중앙동",4599,40218,1044.85391736156,141799.166666667,37,394,2983,15685,0.39,3156749,6
"관악구","청룡동",10372,31468,1044.85391736156,91949.6666666667,56,292,7592,37132,1.18,28515201,6
"관악구","청림동",4182,50017,1044.85391736156,92526.8333333333,101,513,4357,15005,0.3,1327762,6
"관악구","행운동",8846,41161,1796.46081961591,103413.666666667,58,391,6251,29636,0.72,5390685,6
"광진구","광장동",16425,14377,542.774410774411,20741.8333333333,58,123,11677,34362,2.39,6048120,6
"광진구","구의1동",8621,42945,1492.34956434348,145328,66,398,6686,24049,0.56,10190644,6
"광진구","구의2동",8722,19117,1492.34956434348,38029.8333333333,31,198,7279,26573,1.39,7566450,6
"광진구","구의3동",14788,27882,1492.34956434348,41979.3333333333,89,202,9168,28440,1.02,12914418,6
"광진구","군자동",7263,29086,1492.34956434348,74556.5,32,272,5160,21524,0.74,2989565,6
"광진구","능동",6560,10510,1492.34956434348,18258.5,21,106,3050,11561,1.1,15706017,6
"광진구","자양1동",6870,39840,1492.34956434348,128463.333333333,199,366,7654,22709,0.57,2089438,6
"광진구","자양2동",9499,14436,1492.34956434348,32517.6666666667,31,157,8278,24253,1.68,2276670,6
"광진구","자양3동",14240,23215,1492.34956434348,71448,29,259,9386,27858,1.2,2162027,6
"광진구","자양4동",5713,18328,1492.34956434348,65061.5,11,146,5139,21260,1.16,5129717,6
"광진구","중곡1동",4979,25263,1492.34956434348,62206,91,268,4771,15663,0.62,1485387,6
"광진구","중곡2동",6526,38793,1492.34956434348,82555.1666666667,52,400,5212,21336,0.55,2016330,6
"광진구","중곡3동",5359,26962,1492.34956434348,74603.1666666667,25,277,4020,16177,0.6,5209733,6
"광진구","중곡4동",8177,12244,1492.34956434348,31339,22,127,7429,28405,2.32,1228397,6
"광진구","화양동",10647,23347,1492.34956434348,86027.8333333333,24,201,4140,27082,1.16,20082492,6
"구로구","가리봉동",2620,31633,704.764483203022,75304.1666666667,23,223,2730,12653,0.4,2259660,7
"구로구","개봉1동",12330,26034,944.810072055138,50332.8333333333,41,291,11065,34105,1.31,10640200,7
"구로구","개봉2동",10265,38331,704.764483203022,45522.3333333333,95,374,9241,30665,0.8,3755303,7
"구로구","개봉3동",8032,25001,464.790522347873,39865,25,262,5738,20251,0.81,1386916,7
"구로구","고척1동",12075,22100,704.764483203022,38880.8333333333,71,213,7843,25636,1.16,3991126,7
"구로구","고척2동",9547,26036,704.764483203022,55657.1666666667,31,270,8676,26557,1.02,3277307,7
"구로구","구로1동",7000,20525,704.764483203022,15748.5,47,211,16478,20936,1.02,1269764,7
"구로구","구로2동",16305,17098,704.764483203022,43510.8333333333,77,136,10547,30093,1.76,8963979,7
"구로구","구로3동",24482,24564,704.764483203022,70643.6666666667,507,231,8883,25055,1.02,29482041,7
"구로구","구로4동",5048,50113,704.764483203022,110602.166666667,40,379,7549,23052,0.46,2532473,7
"구로구","구로5동",18865,30816,704.764483203022,58321.1666666667,134,273,11679,31740,1.03,8175324,7
"구로구","수궁동",9864,8739,704.764483203022,9345.66666666667,14,89,8144,23332,2.67,8801328,7
"구로구","신도림동",20948,24584,915.692967409949,38190.6666666667,99,276,12771,36138,1.47,22537540,7
"구로구","오류1동",8300,39197,704.764483203022,43906.3333333333,61,323,6882,23126,0.59,4765380,7
"구로구","오류2동",17390,12040,346.791292013097,13727.1666666667,11,122,14046,38528,3.2,7668421,7
"금천구","가산동",53019,10543,732.637226761426,24572.8333333333,376,103,20010,26569,2.52,26070260,8
"금천구","독산1동",26177,22762,1266.31402926595,20809.5,66,216,17955,47573,2.09,8509691,8
"금천구","독산2동",5346,32603,1328.39696738908,68538.6666666667,30,319,5237,19562,0.6,3161442,8
"금천구","독산3동",9885,29608,1328.39696738908,63087,43,251,7600,27239,0.92,5113917,8
"금천구","독산4동",5312,27851,1328.39696738908,63911,29,257,4510,16432,0.59,3595999,8
"금천구","시흥1동",14115,19915,1328.39696738908,34808.8333333333,46,235,11891,34054,1.71,8448200,8
"금천구","시흥2동",7585,16533,1739.34624655647,12587.3333333333,29,188,7155,20832,1.26,2266068,8
"금천구","시흥3동",6325,10001,1575.29036697248,15325.8333333333,61,84,4388,10701,1.07,1271754,8
"금천구","시흥4동",6300,23694,1328.39696738908,41849,18,257,6283,20614,0.87,2506285,8
"금천구","시흥5동",5084,13843,1328.39696738908,18472.6666666667,12,132,5395,19242,1.39,4042494,8
"노원구","공릉1동",14082,26372,1520.95440442176,95436.6666666667,52,310,11081,37184,1.41,12284277,9
"노원구","공릉2동",18724,6237,1165.39910931357,10023.8333333333,10,55,13080,42538,6.82,8090458,9
"노원구","상계10동",6856,23096,1520.95440442176,23599.5,13,217,5362,18477,0.8,2200090,9
"노원구","상계1동",14425,6736,1561.06801467599,12464.1666666667,11,78,13791,37857,5.62,6781940,9
"노원구","상계2동",8349,32179,1520.95440442176,158475.166666667,39,327,6041,19629,0.61,16514084,9
"노원구","상계3.4동",7769,5015,1520.95440442176,10703.5,4,54,8062,25324,5.05,3909336,9
"노원구","상계5동",4947,23502,1520.95440442176,94466.1666666667,35,436,5909,23737,1.01,7860440,9
"노원구","상계6.7동",11812,28868,740.528291316527,42666.1666666667,44,234,8976,32044,1.11,3892569,9
"노원구","상계8동",5101,33349,1520.95440442176,17495.3333333333,18,343,6503,22344,0.67,5010287,9
"노원구","상계9동",5906,24779,1520.95440442176,26632.3333333333,32,254,5793,20071,0.81,1287387,9
"노원구","월계1동",9316,18603,1520.95440442176,43278.8333333333,24,205,6728,21580,1.16,4541403,9
"노원구","월계2동",9180,13436,1520.95440442176,17374.1666666667,6,138,7806,26066,1.94,4134733,9
"노원구","월계3동",10996,25115,2616.82220238095,16043,12,247,8861,29384,1.17,4093754,9
"노원구","중계1동",9864,42190,1520.95440442176,61482,35,440,8457,26580,0.63,2030357,9
"노원구","중계2.3동",9352,37219,1520.95440442176,48599.6666666667,24,389,8493,33497,0.9,7777761,9
"노원구","중계4동",6500,11530,1520.95440442176,17631.1666666667,13,134,5719,19601,1.7,2280260,9
"노원구","중계본동",9135,11917,1520.95440442176,17289.5,9,119,7840,23477,1.97,2688277,9
"노원구","하계1동",10360,17408,1520.95440442176,27820,32,187,7494,26982,1.55,3651132,9
"노원구","하계2동",5520,42435,1520.95440442176,58696,28,441,6220,21642,0.51,7750512,9
"도봉구","도봉1동",7935,2365,982.818017656501,3931.33333333333,3,25,6637,20622,8.72,3623884,10
"도봉구","도봉2동",10466,31758,910.505063916953,23921.1666666667,18,231,8455,26359,0.83,7952384,10
"도봉구","방학1동",13443,41174,910.505063916953,57650.3333333333,63,278,10234,28410,0.69,5310075,10
"도봉구","방학2동",5715,26154,910.505063916953,28413,9,184,4841,19354,0.74,1490496,10
"도봉구","방학3동",6835,10115,910.505063916953,16153,16,150,8372,26500,2.62,2966970,10
"도봉구","쌍문1동",7242,17294,910.505063916953,35191.3333333333,15,185,6407,21445,1.24,2715520,10
"도봉구","쌍문2동",6249,34187,910.505063916953,85786.3333333333,27,357,4939,18461,0.54,3143532,10
"도봉구","쌍문3동",5627,33868,910.505063916953,100052.166666667,40,332,3916,16934,0.5,2668939,10
"도봉구","쌍문4동",4711,35285,910.505063916953,52890.5,25,354,5445,18348,0.52,1990209,10
"도봉구","창1동",6767,27843,910.505063916953,44476.6666666667,16,228,8208,24502,0.88,14614966,10
"도봉구","창2동",10273,27578,838.192110177404,136624.333333333,38,453,8164,28957,1.05,2459348,10
"도봉구","창3동",3729,20348,910.505063916953,53045.5,12,225,3646,13633,0.67,1686603,10
"도봉구","창4동",10805,27496,910.505063916953,27942,24,236,8501,26121,0.95,3999752,10
"도봉구","창5동",11136,34776,910.505063916953,57591.5,105,372,7758,24343,0.7,10718427,10
"동대문구","답십리1동",13610,35222,2851.03057889823,82567,94,356,9608,28530,0.81,2499480,11
"동대문구","답십리2동",9090,33006,2851.03057889823,72114.6666666667,33,340,8629,28055,0.85,3579384,11
"동대문구","용신동",16812,22445,2851.03057889823,72548.3333333333,150,196,10209,36137,1.61,23294536,11
"동대문구","이문1동",7147,20544,2851.03057889823,80716.1666666667,40,185,4081,21366,1.04,4139788,11
"동대문구","이문2동",6493,29251,2851.03057889823,52802.3333333333,32,293,5343,20183,0.69,3128950,11
"동대문구","장안1동",19466,30942,2851.03057889823,65751.6666666667,79,284,12984,38677,1.25,6006908,11
"동대문구","장안2동",14889,29986,2851.03057889823,67231,56,295,10665,32685,1.09,4893058,11
"동대문구","전농1동",11320,24555,2851.03057889823,97846.5,13,271,7491,29220,1.19,17161391,11
"동대문구","전농2동",7287,21662,2851.03057889823,25212.6666666667,41,195,5449,18629,0.86,3040667,11
"동대문구","제기동",9163,22444,2851.03057889823,79153.5,46,210,6448,26484,1.18,9736465,11
"동대문구","청량리동",8940,15912,2851.03057889823,41750.8333333333,41,164,5091,19094,1.2,4167901,11
"동대문구","회기동",6029,17811,2851.03057889823,56888.1666666667,9,127,2124,13536,0.76,2247383,11
"동대문구","휘경1동",6499,25935,2851.03057889823,106085.166666667,30,265,3932,16339,0.63,9645480,11
"동대문구","휘경2동",11358,23491,2851.03057889823,43700.8333333333,36,201,6353,24666,1.05,3850133,11
"동작구","노량진1동",11784,20325,1408.39005199781,36034.3333333333,31,170,8681,32114,1.58,20354636,12
"동작구","노량진2동",3051,17553,3202.41165135301,63993.8333333333,76,223,2372,11234,0.64,4527840,12
"동작구","대방동",11523,23907,3202.41165135301,34545.8333333333,71,244,10553,37056,1.55,15689667,12
"동작구","사당1동",6402,29125,3202.41165135301,102220.333333333,62,366,5473,23009,0.79,2912763,12
"동작구","사당2동",8975,10468,4996.43325070822,21604.1666666667,9,89,8292,28786,2.75,17032162,12
"동작구","사당3동",8752,26292,3202.41165135301,49509.3333333333,40,279,7093,24189,0.92,2006349,12
"동작구","사당4동",3804,37329,3202.41165135301,94206.6666666667,32,335,3513,14185,0.38,3928167,12
"동작구","사당5동",5588,25323,3202.41165135301,40547,24,223,4203,14434,0.57,1457483,12
"동작구","상도1동",16684,30574,3202.41165135301,56906.1666666667,41,302,12452,46166,1.51,17639856,12
"동작구","상도2동",13047,28553,3202.41165135301,65367.3333333333,22,348,8192,27982,0.98,6672300,12
"동작구","상도3동",6020,40760,3202.41165135301,92637.3333333333,21,379,5688,24456,0.6,2801865,12
"동작구","상도4동",7252,38085,3202.41165135301,68518.5,27,305,6879,28564,0.75,2388036,12
"동작구","신대방1동",5897,40513,3202.41165135301,39745,108,345,7495,25118,0.62,2086652,12
"동작구","신대방2동",12756,21791,3202.41165135301,44406.5,215,204,6373,22445,1.03,4920223,12
"동작구","흑석동",16126,18270,3202.41165135301,33978,7,157,9097,30694,1.68,8641691,12
"마포구","공덕동",14702,37105,2780.70624850322,142500.833333333,51,406,11977,37476,1.01,15352354,13
"마포구","대흥동",7158,18594,2780.70624850322,62934.3333333333,66,168,3898,16177,0.87,13144785,13
"마포구","도화동",9631,34061,2780.70624850322,40606,152,252,7819,21118,0.62,2462207,13
"마포구","망원1동",9530,17484,3085.9454,56594.5,28,187,5704,19757,1.13,2070973,13
"마포구","망원2동",14095,27536,2780.70624850322,52276,43,157,5346,18449,0.67,1644813,13
"마포구","상암동",10849,3671,2819.1336797846,6215.16666666667,20,41,11290,30837,8.4,16901574,13
"마포구","서강동",24674,17639,2780.70624850322,27572.5,33,130,7664,25576,1.45,8060157,13
"마포구","서교동",8126,16166,2780.70624850322,92355.1666666667,164,144,8441,26674,1.65,60134648,13
"마포구","성산1동",5631,23849,2780.70624850322,54130.3333333333,68,226,6287,19079,0.8,2600917,13
"마포구","성산2동",13274,19082,2780.70624850322,33966.8333333333,14,203,11442,39500,2.07,10469893,13
"마포구","신수동",12720,29067,2780.70624850322,50611.8333333333,61,252,7447,22672,0.78,766779,13
"마포구","아현동",7140,34453,2780.70624850322,71774,250,321,8421,26184,0.76,9328062,13
"마포구","연남동",6893,24380,2780.70624850322,89452.8333333333,50,243,4083,15603,0.64,2287588,13
"마포구","염리동",31057,40075,2780.70624850322,81223.8333333333,84,250,5236,17633,0.44,1242643,13
"마포구","용강동",7173,25936,2780.70624850322,78697.6666666667,145,219,9488,21786,0.84,6145193,13
"마포구","합정동",16770,9921,2437.03966572505,26390.3333333333,32,111,6345,17064,1.72,2283201,13
"서대문구","남가좌1동",5014,33106,1234.44936590611,14116.6666666667,82,340,5397,16884,0.51,4221426,14
"서대문구","남가좌2동",16266,39621,1234.44936590611,73148,23,381,8492,30508,0.77,4093986,14
"서대문구","북가좌1동",12845,32371,1234.44936590611,44469.3333333333,31,303,7375,17804,0.55,1950857,14
"서대문구","북가좌2동",6621,37195,1234.44936590611,149981.5,37,415,8515,31244,0.84,3692260,14
"서대문구","북아현동",5803,34511,1234.44936590611,369826.833333333,40,359,4479,15875,0.46,2475360,14
"서대문구","신촌동",19409,9940,1232.25588316722,38381.1666666667,20,77,3885,26143,2.63,26093916,14
"서대문구","연희동",14660,12271,1123.06310595645,26992.8333333333,50,122,9990,37428,3.05,9549108,14
"서대문구","천연동",5189,17558,1234.44936590611,37126.6666666667,21,202,4895,17031,0.97,5922194,14
"서대문구","충현동",11582,18139,1234.44936590611,94681.6666666667,124,184,7007,20316,1.12,14766900,14
"서대문구","홍은1동",6636,14446,1234.44936590611,22565.6666666667,49,149,7100,22825,1.58,2418420,14
