,구,동,평균거주인구
0,종로구,청운효자동,51.83333333333333
1,종로구,사직동,81.16666666666666
2,종로구,삼청동,19.833333333333336
3,종로구,부암동,45.0
4,종로구,평창동,22.0
5,종로구,무악동,180.66666666666669
6,종로구,교남동,296.5
7,종로구,가회동,77.83333333333334
8,종로구,종로1.2.3.4가동,30.0
9,종로구,종로5.6가동,87.0
10,종로구,이화동,104.33333333333334
11,종로구,혜화동,145.0
12,종로구,창신1동,175.5
13,종로구,창신2동,331.5
14,종로구,창신3동,328.33333333333337
15,종로구,숭인1동,260.33333333333337
16,종로구,숭인2동,264.16666666666663
17,중구,소공동,22.166666666666664
18,중구,회현동,57.66666666666667
19,중구,명동,28.0
20,중구,필동,28.0
21,중구,장충동,45.83333333333333
22,중구,광희동,66.66666666666666
23,중구,을지로동,29.5
24,중구,신당동,140.5
25,중구,다산동,269.33333333333337
26,중구,약수동,342.66666666666663
27,중구,청구동,413.66666666666663
28,중구,신당5동,292.83333333333337
29,중구,동화동,339.0
30,중구,황학동,383.16666666666663
31,중구,중림동,258.83333333333337
32,용산구,후암동,206.5
33,용산구,용산2가동,50.5
34,용산구,남영동,105.66666666666666
35,용산구,청파동,228.83333333333331
36,용산구,원효로1동,269.66666666666663
37,용산구,원효로2동,158.33333333333331
38,용산구,효창동,191.5
39,용산구,용문동,436.16666666666663
40,용산구,한강로동,52.33333333333333
41,용산구,이촌1동,131.83333333333331
42,용산구,이촌2동,74.66666666666666
43,용산구,이태원1동,117.0
44,용산구,이태원2동,105.83333333333334
45,용산구,한남동,65.33333333333334
46,용산구,서빙고동,60.0
47,용산구,보광동,159.66666666666669
48,성동구,왕십리2동,456.5
49,성동구,왕십리도선동,377.83333333333337
50,성동구,마장동,215.0
51,성동구,사근동,99.33333333333334
52,성동구,행당1동,280.0
53,성동구,행당2동,536.0
54,성동구,응봉동,293.83333333333337
55,성동구,금호1가동,358.5
56,성동구,금호2.3가동,374.5
57,성동구,금호4가동,157.5
58,성동구,옥수동,218.66666666666669
59,성동구,성수1가1동,74.83333333333334
60,성동구,성수1가2동,142.66666666666669
61,성동구,성수2가1동,151.16666666666669
62,성동구,성수2가3동,107.66666666666666
63,성동구,송정동,186.33333333333331
64,성동구,용답동,51.66666666666667
65,광진구,화양동,195.16666666666669
66,광진구,군자동,269.5
67,광진구,중곡1동,273.0
68,광진구,중곡2동,403.33333333333337
69,광진구,중곡3동,282.83333333333337
70,광진구,중곡4동,129.5
71,광진구,능동,105.16666666666666
72,광진구,광장동,123.83333333333334
73,광진구,자양1동,369.33333333333337
74,광진구,자양2동,161.16666666666669
75,광진구,자양3동,263.16666666666663
76,광진구,자양4동,151.0
77,광진구,구의1동,400.5
78,광진구,구의2동,201.33333333333331
79,광진구,구의3동,204.5
80,동대문구,용신동,191.83333333333331
81,동대문구,제기동,210.0
82,동대문구,전농1동,272.66666666666663
83,동대문구,전농2동,198.33333333333331
84,동대문구,답십리1동,355.16666666666663
85,동대문구,답십리2동,352.5
86,동대문구,장안1동,281.5
87,동대문구,장안2동,280.83333333333337
88,동대문구,청량리동,174.83333333333331
89,동대문구,회기동,122.0
90,동대문구,휘경1동,245.0
91,동대문구,휘경2동,201.83333333333331
92,동대문구,이문1동,189.16666666666669
93,동대문구,이문2동,295.5
94,중랑구,면목2동,343.0
95,중랑구,면목4동,238.83333333333331
96,중랑구,면목5동,179.33333333333331
97,중랑구,면목본동,418.0
98,중랑구,면목7동,179.33333333333331
99,중랑구,면목3.8동,164.16666666666669
100,중랑구,상봉1동,272.5
101,중랑구,상봉2동,291.16666666666663
102,중랑구,중화1동,323.83333333333337
103,중랑구,중화2동,277.66666666666663
104,중랑구,묵1동,302.33333333333337
105,중랑구,묵2동,287.5
106,중랑구,망우본동,99.83333333333334
107,중랑구,망우3동,181.16666666666669
108,중랑구,신내1동,171.33333333333331
109,중랑구,신내2동,231.83333333333331
110,성북구,성북동,42.0
111,성북구,삼선동,295.16666666666663
112,성북구,동선동,214.33333333333331
113,성북구,돈암1동,337.0
114,성북구,돈암2동,451.33333333333337
115,성북구,안암동,60.0
116,성북구,보문동,274.33333333333337
117,성북구,정릉1동,428.83333333333337
118,성북구,정릉2동,207.0
119,성북구,정릉3동,48.83333333333333
120,성북구,정릉4동,70.66666666666666
121,성북구,길음1동,455.33333333333337
122,성북구,길음2동,296.5
123,성북구,종암동,269.5
124,성북구,월곡1동,320.33333333333337
125,성북구,월곡2동,150.16666666666669
126,성북구,장위1동,284.66666666666663
127,성북구,장위2동,201.33333333333331
128,성북구,장위3동,185.83333333333331
129,성북구,석관동,186.83333333333331
130,강북구,삼양동,265.5
131,강북구,미아동,267.83333333333337
132,강북구,송중동,278.33333333333337
133,강북구,송천동,301.83333333333337
134,강북구,삼각산동,535.8333333333333
135,강북구,번1동,310.5
136,강북구,번2동,170.0
137,강북구,번3동,168.83333333333331
138,강북구,수유1동,123.66666666666666
139,강북구,수유2동,371.16666666666663
140,강북구,수유3동,322.5
141,강북구,우이동,20.0
142,강북구,인수동,112.33333333333334
