,Unnamed: 0,구별,동별,연도,주민인구
834,834,노원구,중계4동,2022,19601
839,839,노원구,상계1동,2022,37857
844,844,노원구,상계2동,2022,19629
849,849,노원구,상계5동,2022,23737
854,854,노원구,상계8동,2022,22344
859,859,노원구,상계9동,2022,20071
864,864,노원구,상계10동,2022,18477
869,869,노원구,상계3.4동,2022,25324
874,874,노원구,상계6.7동,2022,32044
879,879,노원구,중계2.3동,2022,33497
884,884,노원구,공릉1동,2022,37184
889,889,은평구,녹번동,2022,36884
894,894,은평구,불광1동,2022,38265
899,899,은평구,갈현1동,2022,17151
904,904,은평구,갈현2동,2022,28176
909,909,은평구,구산동,2022,32020
914,914,은평구,대조동,2022,26862
919,919,은평구,응암1동,2022,33279
924,924,은평구,응암2동,2022,28016
929,929,은평구,신사1동,2022,26984
934,934,은평구,신사2동,2022,19497
939,939,은평구,증산동,2022,18647
944,944,은평구,수색동,2022,13210
949,949,은평구,진관동,2022,55034
954,954,은평구,불광2동,2022,27280
959,959,은평구,응암3동,2022,24313
964,964,은평구,역촌동,2022,44984
969,969,서대문구,천연동,2022,17031
974,974,서대문구,홍제1동,2022,24674
979,979,서대문구,홍제3동,2022,17890
984,984,서대문구,홍제2동,2022,13433
989,989,서대문구,홍은1동,2022,22825
994,994,서대문구,홍은2동,2022,27499
999,999,서대문구,남가좌1동,2022,16884
1004,1004,서대문구,남가좌2동,2022,30508
1009,1009,서대문구,북가좌1동,2022,17804
1014,1014,서대문구,북가좌2동,2022,31244
1019,1019,서대문구,충현동,2022,20316
1024,1024,서대문구,북아현동,2022,15875
1029,1029,서대문구,신촌동,2022,26143
1034,1034,서대문구,연희동,2022,37428
1039,1039,마포구,용강동,2022,21786
1044,1044,마포구,대흥동,2022,16177
1049,1049,마포구,염리동,2022,17633
1054,1054,마포구,신수동,2022,22672
1059,1059,마포구,서교동,2022,26674
1064,1064,마포구,합정동,2022,17064
1069,1069,마포구,망원1동,2022,19757
1074,1074,마포구,망원2동,2022,18449
1079,1079,마포구,연남동,2022,15603
1084,1084,마포구,성산1동,2022,19079
1089,1089,마포구,성산2동,2022,39500
1094,1094,마포구,상암동,2022,30837
1099,1099,마포구,도화동,2022,21118
1104,1104,마포구,서강동,2022,25576
1109,1109,마포구,공덕동,2022,37476
1114,1114,마포구,아현동,2022,26184
1119,1119,양천구,목1동,2022,30536
1124,1124,양천구,목2동,2022,29641
1129,1129,양천구,목3동,2022,21719
1134,1134,양천구,목4동,2022,25018
1139,1139,양천구,신월1동,2022,20343
1144,1144,양천구,신월2동,2022,20569
1149,1149,양천구,신월3동,2022,14934
1154,1154,양천구,신월4동,2022,17698
1159,1159,양천구,신월5동,2022,14461
1164,1164,양천구,신월6동,2022,13816
1169,1169,양천구,신월7동,2022,19199
1174,1174,양천구,신정1동,2022,19962
1179,1179,양천구,신정2동,2022,19003
1184,1184,양천구,신정3동,2022,50587
1189,1189,양천구,신정6동,2022,24152
1194,1194,양천구,신정7동,2022,28579
1199,1199,양천구,목5동,2022,40737
1204,1204,양천구,신정4동,2022,33056
1209,1209,강서구,염창동,2022,41628
1214,1214,강서구,등촌1동,2022,24991
1219,1219,강서구,등촌2동,2022,19855
1224,1224,강서구,등촌3동,2022,30025
1229,1229,강서구,화곡본동,2022,34121
1234,1234,강서구,화곡2동,2022,17785
1239,1239,강서구,화곡3동,2022,21603
1244,1244,강서구,화곡4동,2022,20514
1249,1249,강서구,화곡6동,2022,25303
1254,1254,강서구,화곡8동,2022,24415
1259,1259,강서구,가양1동,2022,34359
1264,1264,강서구,가양2동,2022,13902
1269,1269,강서구,가양3동,2022,14678
1274,1274,강서구,발산1동,2022,36236
1279,1279,강서구,공항동,2022,30927
1284,1284,강서구,방화1동,2022,42851
1289,1289,강서구,방화2동,2022,23371
1294,1294,강서구,방화3동,2022,22544
1299,1299,강서구,화곡1동,2022,52647
1304,1304,강서구,우장산동,2022,42883
1309,1309,구로구,신도림동,2022,36138
1314,1314,구로구,구로1동,2022,20936
1319,1319,구로구,구로3동,2022,25055
1324,1324,구로구,구로4동,2022,23052
1329,1329,구로구,구로5동,2022,31740
1334,1334,구로구,고척1동,2022,25636
1339,1339,구로구,고척2동,2022,26557
1344,1344,구로구,개봉2동,2022,30665
1349,1349,구로구,개봉3동,2022,20251
1354,1354,구로구,오류1동,2022,23126
1359,1359,구로구,수궁동,2022,23332
1364,1364,구로구,가리봉동,2022,12653
1369,1369,구로구,구로2동,2022,30093
1374,1374,구로구,개봉1동,2022,34105
1379,1379,구로구,오류2동,2022,38528
1389,1389,금천구,가산동,2022,26569
1394,1394,금천구,독산1동,2022,47573
1399,1399,금천구,독산2동,2022,19562
1404,1404,금천구,독산3동,2022,27239
1409,1409,금천구,독산4동,2022,16432
1414,1414,금천구,시흥1동,2022,34054
1419,1419,금천구,시흥2동,2022,20832
1424,1424,금천구,시흥3동,2022,10701
1429,1429,금천구,시흥4동,2022,20614
1434,1434,금천구,시흥5동,2022,19242
1439,1439,영등포구,여의동,2022,32923
1444,1444,영등포구,당산1동,2022,20740
1449,1449,영등포구,당산2동,2022,37102
1454,1454,영등포구,양평1동,2022,18704
1459,1459,영등포구,양평2동,2022,22583
1464,1464,영등포구,신길1동,2022,20483
1469,1469,영등포구,신길3동,2022,17281
1474,1474,영등포구,신길4동,2022,13016
1479,1479,영등포구,신길5동,2022,11212
1484,1484,영등포구,신길6동,2022,19593
1489,1489,영등포구,신길7동,2022,19899
1494,1494,영등포구,대림1동,2022,16506
1499,1499,영등포구,대림2동,2022,17523
1504,1504,영등포구,대림3동,2022,25205
1509,1509,영등포구,영등포본동,2022,22714
1514,1514,영등포구,영등포동,2022,30461
1519,1519,영등포구,도림동,2022,19600
1524,1524,영등포구,문래동,2022,32540
1534,1534,동작구,노량진2동,2022,11234
1539,1539,동작구,상도1동,2022,46166
1544,1544,동작구,상도2동,2022,27982
1549,1549,동작구,상도3동,2022,24456
1554,1554,동작구,상도4동,2022,28564
1559,1559,동작구,사당1동,2022,23009
1564,1564,동작구,사당3동,2022,24189
1569,1569,동작구,사당4동,2022,14185
1574,1574,동작구,사당5동,2022,14434
1579,1579,동작구,대방동,2022,37056
1584,1584,동작구,신대방1동,2022,25118
1589,1589,동작구,신대방2동,2022,22445
1594,1594,동작구,흑석동,2022,30694
1599,1599,동작구,노량진1동,2022,32114
1604,1604,동작구,사당2동,2022,28786
1609,1609,관악구,보라매동,2022,24660
1614,1614,관악구,청림동,2022,15005
1619,1619,관악구,행운동,2022,29636
1624,1624,관악구,낙성대동,2022,17928
1629,1629,관악구,중앙동,2022,15685
1634,1634,관악구,인헌동,2022,26119
1639,1639,관악구,남현동,2022,18163
1644,1644,관악구,서원동,2022,23511
1649,1649,관악구,신원동,2022,18620
1654,1654,관악구,서림동,2022,24361
1659,1659,관악구,신사동,2022,24719
1664,1664,관악구,신림동,2022,23877
1669,1669,관악구,난향동,2022,15050
1674,1674,관악구,조원동,2022,20490
1679,1679,관악구,대학동,2022,26301
1684,1684,관악구,은천동,2022,33156
1689,1689,관악구,성현동,2022,28830
1694,1694,관악구,청룡동,2022,37132
1699,1699,관악구,난곡동,2022,26679
1704,1704,관악구,삼성동,2022,20642
1709,1709,관악구,미성동,2022,30662
