"시점","동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"2019","합계",중구,중림동,12942,0.48,26963
"2019","합계",중구,신당동,9234,0.55,16789
"2019","합계",중구,다산동,15035,0.51,29480
"2019","합계",중구,약수동,17734,0.48,36946
"2019","합계",중구,청구동,14515,0.34,42691
"2019","합계",중구,동화동,10995,0.26,42288
"2019","합계",용산구,소계,245185,21.87,11213
"2019","합계",용산구,후암동,18445,0.86,21448
"2019","합계",용산구,용산2가동,11836,1.96,6039
"2019","합계",용산구,남영동,8412,1.19,7069
"2019","합계",용산구,원효로2동,14718,0.71,20730
"2019","합계",용산구,효창동,10300,0.44,23409
"2019","합계",용산구,용문동,12587,0.28,44954
"2019","합계",용산구,이촌1동,29255,2.86,10229
"2019","합계",용산구,이촌2동,9005,1.22,7381
"2019","합계",용산구,이태원1동,9222,0.57,16179
"2019","합계",용산구,이태원2동,10811,0.86,12571
"2019","합계",용산구,서빙고동,14102,2.80,5036
"2019","합계",용산구,보광동,15862,0.71,22341
"2019","합계",용산구,청파동,20661,0.91,22704
"2019","합계",용산구,원효로1동,16630,0.59,28186
"2019","합계",용산구,한강로동,19635,2.90,6771
"2019","합계",용산구,한남동,23704,3.01,7875
"2019","합계",성동구,소계,308979,16.86,18327
"2019","합계",성동구,왕십리2동,17744,0.41,43278
"2019","합계",성동구,마장동,24035,1.05,22890
"2019","합계",성동구,사근동,13543,1.10,12312
"2019","합계",성동구,행당1동,16463,0.59,27903
"2019","합계",성동구,행당2동,24640,0.42,58667
"2019","합계",성동구,응봉동,16188,0.57,28400
"2019","합계",성동구,금호1가동,15954,0.46,34683
"2019","합계",성동구,금호4가동,15227,0.84,18127
"2019","합계",성동구,성수1가1동,17168,1.98,8671
"2019","합계",성동구,성수1가2동,14735,0.89,16556
"2019","합계",성동구,성수2가1동,17722,1.18,15019
"2019","합계",성동구,성수2가3동,11682,1.03,11342
"2019","합계",성동구,송정동,11428,0.75,15237
"2019","합계",성동구,용답동,13290,2.32,5728
"2019","합계",성동구,왕십리도선동,27767,0.72,38565
"2019","합계",성동구,금호2.3가동,24171,0.64,37767
"2019","합계",성동구,옥수동,27222,1.95,13960
"2019","합계",광진구,소계,366972,17.06,21507
"2019","합계",광진구,화양동,25537,1.16,22015
"2019","합계",광진구,군자동,22109,0.74,29877
"2019","합계",광진구,중곡1동,16287,0.62,26269
"2019","합계",광진구,중곡2동,22564,0.55,41025
"2019","합계",광진구,중곡3동,17315,0.60,28858
"2019","합계",광진구,중곡4동,30516,2.32,13153
"2019","합계",광진구,능동,11978,1.10,10889
