,연도,구별,동별,면적
275,2018,강서구,화곡1동,1.12
276,2018,강서구,우장산동,1.36
278,2018,구로구,신도림동,1.47
279,2018,구로구,구로1동,1.02
280,2018,구로구,구로3동,1.02
281,2018,구로구,구로4동,0.46
282,2018,구로구,구로5동,1.03
283,2018,구로구,고척1동,1.16
284,2018,구로구,고척2동,1.02
285,2018,구로구,개봉2동,0.8
286,2018,구로구,개봉3동,0.81
287,2018,구로구,오류1동,0.59
288,2018,구로구,수궁동,2.67
289,2018,구로구,가리봉동,0.4
290,2018,구로구,구로2동,1.76
291,2018,구로구,개봉1동,1.31
292,2018,구로구,오류2동,4.6
294,2018,금천구,가산동,2.52
295,2018,금천구,독산1동,2.09
296,2018,금천구,독산2동,0.6
297,2018,금천구,독산3동,0.92
298,2018,금천구,독산4동,0.59
299,2018,금천구,시흥1동,1.71
300,2018,금천구,시흥2동,1.26
301,2018,금천구,시흥3동,1.07
302,2018,금천구,시흥4동,0.87
303,2018,금천구,시흥5동,1.39
305,2018,영등포구,여의동,8.4
306,2018,영등포구,당산1동,0.75
307,2018,영등포구,당산2동,1.55
308,2018,영등포구,양평1동,0.88
309,2018,영등포구,양평2동,3.0
310,2018,영등포구,신길1동,0.66
311,2018,영등포구,신길3동,0.52
312,2018,영등포구,신길4동,0.35
313,2018,영등포구,신길5동,0.47
314,2018,영등포구,신길6동,0.68
315,2018,영등포구,신길7동,0.64
316,2018,영등포구,대림1동,0.49
317,2018,영등포구,대림2동,0.55
318,2018,영등포구,대림3동,0.95
319,2018,영등포구,영등포본동,1.02
320,2018,영등포구,영등포동,1.26
321,2018,영등포구,도림동,0.89
322,2018,영등포구,문래동,1.49
324,2018,동작구,노량진2동,0.64
325,2018,동작구,상도1동,1.51
326,2018,동작구,상도2동,0.98
327,2018,동작구,상도3동,0.6
328,2018,동작구,상도4동,0.75
329,2018,동작구,사당1동,0.79
330,2018,동작구,사당3동,0.92
331,2018,동작구,사당4동,0.38
332,2018,동작구,사당5동,0.57
333,2018,동작구,대방동,1.55
334,2018,동작구,신대방1동,0.62
335,2018,동작구,신대방2동,1.03
336,2018,동작구,흑석동,1.68
337,2018,동작구,노량진1동,1.58
338,2018,동작구,사당2동,2.75
340,2018,관악구,보라매동,0.76
341,2018,관악구,청림동,0.3
342,2018,관악구,행운동,0.72
343,2018,관악구,낙성대동,2.27
344,2018,관악구,중앙동,0.39
345,2018,관악구,인헌동,1.08
346,2018,관악구,남현동,3.27
347,2018,관악구,서원동,0.65
348,2018,관악구,신원동,0.55
349,2018,관악구,서림동,0.99
350,2018,관악구,신사동,0.64
351,2018,관악구,신림동,0.54
352,2018,관악구,난향동,0.8
353,2018,관악구,조원동,0.67
354,2018,관악구,대학동,8.3
355,2018,관악구,은천동,0.78
356,2018,관악구,성현동,0.68
357,2018,관악구,청룡동,1.18
358,2018,관악구,난곡동,0.96
359,2018,관악구,삼성동,2.66
360,2018,관악구,미성동,1.38
362,2018,서초구,서초1동,1.42
363,2018,서초구,서초2동,1.24
364,2018,서초구,서초3동,2.93
365,2018,서초구,서초4동,0.88
366,2018,서초구,잠원동,1.76
367,2018,서초구,반포본동,1.01
368,2018,서초구,반포1동,1.0
369,2018,서초구,반포2동,1.35
370,2018,서초구,반포3동,1.28
371,2018,서초구,반포4동,1.43
372,2018,서초구,방배본동,0.67
373,2018,서초구,방배1동,0.7
374,2018,서초구,방배2동,1.93
375,2018,서초구,방배3동,2.4
376,2018,서초구,방배4동,0.98
377,2018,서초구,양재1동,5.76
378,2018,서초구,양재2동,7.58
379,2018,서초구,내곡동,12.68
381,2018,강남구,신사동,1.89
382,2018,강남구,논현1동,1.25
383,2018,강남구,논현2동,1.47
384,2018,강남구,삼성1동,1.94
385,2018,강남구,삼성2동,1.24
386,2018,강남구,대치1동,0.79
387,2018,강남구,대치4동,0.73
388,2018,강남구,역삼1동,2.35
389,2018,강남구,역삼2동,1.15
390,2018,강남구,도곡1동,1.02
391,2018,강남구,도곡2동,1.02
392,2018,강남구,개포1동,1.27
393,2018,강남구,개포4동,1.49
394,2018,강남구,일원본동,2.58
395,2018,강남구,일원1동,0.92
396,2018,강남구,일원2동,1.24
397,2018,강남구,수서동,1.43
398,2018,강남구,세곡동,6.36
399,2018,강남구,압구정동,2.53
400,2018,강남구,청담동,2.33
401,2018,강남구,대치2동,2.0
402,2018,강남구,개포2동,2.51
404,2018,송파구,풍납1동,0.77
405,2018,송파구,풍납2동,1.59
406,2018,송파구,거여1동,0.51
407,2018,송파구,거여2동,0.53
408,2018,송파구,마천1동,0.58
409,2018,송파구,마천2동,0.89
410,2018,송파구,방이1동,0.5
411,2018,송파구,방이2동,0.8
412,2018,송파구,오륜동,3.17
413,2018,송파구,오금동,1.65
414,2018,송파구,송파1동,0.79
415,2018,송파구,송파2동,0.53
416,2018,송파구,석촌동,0.95
417,2018,송파구,삼전동,0.95
418,2018,송파구,가락본동,1.13
419,2018,송파구,가락1동,1.34
420,2018,송파구,가락2동,0.96
421,2018,송파구,문정1동,0.56
422,2018,송파구,문정2동,2.2
423,2018,송파구,잠실본동,0.94
424,2018,송파구,잠실4동,1.56
425,2018,송파구,잠실6동,2.79
426,2018,송파구,잠실7동,0.6
427,2018,송파구,잠실2동,2.18
428,2018,송파구,잠실3동,1.49
429,2018,송파구,장지동,1.37
430,2018,송파구,위례동,2.55
432,2018,강동구,강일동,2.8
433,2018,강동구,상일동,2.65
434,2018,강동구,명일1동,0.61
435,2018,강동구,명일2동,0.97
436,2018,강동구,고덕1동,1.73
437,2018,강동구,고덕2동,2.01
438,2018,강동구,암사2동,1.18
439,2018,강동구,암사3동,2.51
440,2018,강동구,천호1동,0.71
441,2018,강동구,천호3동,0.79
442,2018,강동구,성내1동,0.58
443,2018,강동구,성내2동,0.67
444,2018,강동구,성내3동,0.71
445,2018,강동구,둔촌1동,0.92
446,2018,강동구,둔촌2동,0.98
447,2018,강동구,암사1동,1.02
448,2018,강동구,천호2동,1.57
449,2018,강동구,길동,2.17
452,2019,종로구,사직동,1.23
453,2019,종로구,삼청동,1.49
454,2019,종로구,부암동,2.27
455,2019,종로구,평창동,8.87
456,2019,종로구,무악동,0.36
457,2019,종로구,교남동,0.35
458,2019,종로구,가회동,0.54
459,2019,종로구,종로1.2.3.4가동,2.35
460,2019,종로구,종로5.6가동,0.6
461,2019,종로구,이화동,0.78
462,2019,종로구,창신1동,0.31
463,2019,종로구,창신2동,0.26
464,2019,종로구,창신3동,0.23
465,2019,종로구,숭인1동,0.23
466,2019,종로구,숭인2동,0.35
467,2019,종로구,청운효자동,2.57
468,2019,종로구,혜화동,1.12
470,2019,중구,소공동,0.95
471,2019,중구,회현동,0.84
472,2019,중구,명동,0.99
473,2019,중구,필동,1.14
474,2019,중구,장충동,1.36
475,2019,중구,광희동,0.74
476,2019,중구,을지로동,0.6
477,2019,중구,신당5동,0.39
478,2019,중구,황학동,0.33
479,2019,중구,중림동,0.48
480,2019,중구,신당동,0.55
481,2019,중구,다산동,0.51
482,2019,중구,약수동,0.48
483,2019,중구,청구동,0.34
484,2019,중구,동화동,0.26
486,2019,용산구,후암동,0.86
487,2019,용산구,용산2가동,1.96
488,2019,용산구,남영동,1.19
489,2019,용산구,원효로2동,0.71
490,2019,용산구,효창동,0.44
491,2019,용산구,용문동,0.28
492,2019,용산구,이촌1동,2.86
493,2019,용산구,이촌2동,1.22
494,2019,용산구,이태원1동,0.57
495,2019,용산구,이태원2동,0.86
496,2019,용산구,서빙고동,2.8
497,2019,용산구,보광동,0.71
498,2019,용산구,청파동,0.91
499,2019,용산구,원효로1동,0.59
500,2019,용산구,한강로동,2.9
501,2019,용산구,한남동,3.01
503,2019,성동구,왕십리2동,0.41
504,2019,성동구,마장동,1.05
505,2019,성동구,사근동,1.1
506,2019,성동구,행당1동,0.59
507,2019,성동구,행당2동,0.42
508,2019,성동구,응봉동,0.57
509,2019,성동구,금호1가동,0.46
510,2019,성동구,금호4가동,0.84
511,2019,성동구,성수1가1동,1.98
512,2019,성동구,성수1가2동,0.89
513,2019,성동구,성수2가1동,1.18
514,2019,성동구,성수2가3동,1.03
515,2019,성동구,송정동,0.75
516,2019,성동구,용답동,2.32
517,2019,성동구,왕십리도선동,0.72
518,2019,성동구,금호2.3가동,0.64
519,2019,성동구,옥수동,1.95
521,2019,광진구,화양동,1.16
522,2019,광진구,군자동,0.74
523,2019,광진구,중곡1동,0.62
524,2019,광진구,중곡2동,0.55
525,2019,광진구,중곡3동,0.6
526,2019,광진구,중곡4동,2.32
527,2019,광진구,능동,1.1
528,2019,광진구,구의1동,0.56
529,2019,광진구,구의2동,1.39
530,2019,광진구,구의3동,1.02
531,2019,광진구,광장동,2.39
532,2019,광진구,자양1동,0.57
533,2019,광진구,자양2동,1.68
534,2019,광진구,자양3동,1.2
535,2019,광진구,자양4동,1.16
537,2019,동대문구,회기동,0.76
538,2019,동대문구,휘경1동,0.63
539,2019,동대문구,휘경2동,1.05
540,2019,동대문구,청량리동,1.2
541,2019,동대문구,용신동,1.61
542,2019,동대문구,제기동,1.18
543,2019,동대문구,전농1동,1.19
544,2019,동대문구,전농2동,0.86
545,2019,동대문구,답십리2동,0.85
546,2019,동대문구,장안1동,1.25
547,2019,동대문구,장안2동,1.09
548,2019,동대문구,이문1동,1.04
549,2019,동대문구,이문2동,0.69
550,2019,동대문구,답십리1동,0.81
552,2019,중랑구,면목2동,0.73
553,2019,중랑구,면목4동,1.1
554,2019,중랑구,면목5동,0.64
555,2019,중랑구,면목7동,0.87
556,2019,중랑구,상봉1동,0.85
557,2019,중랑구,상봉2동,0.68
558,2019,중랑구,중화1동,0.68
559,2019,중랑구,중화2동,0.98
560,2019,중랑구,묵1동,1.2
561,2019,중랑구,묵2동,0.7
562,2019,중랑구,망우3동,0.99
563,2019,중랑구,신내1동,2.53
564,2019,중랑구,신내2동,0.99
565,2019,중랑구,면목본동,1.01
566,2019,중랑구,면목3.8동,1.67
567,2019,중랑구,망우본동,2.88
569,2019,성북구,돈암1동,0.49
570,2019,성북구,돈암2동,0.48
571,2019,성북구,안암동,1.33
572,2019,성북구,보문동,0.56
573,2019,성북구,정릉1동,0.44
574,2019,성북구,정릉2동,1.17
575,2019,성북구,정릉3동,3.71
576,2019,성북구,정릉4동,3.13
577,2019,성북구,길음1동,0.79
578,2019,성북구,길음2동,0.58
579,2019,성북구,월곡1동,0.81
580,2019,성북구,월곡2동,1.36
581,2019,성북구,장위1동,0.7
582,2019,성북구,장위2동,0.67
583,2019,성북구,장위3동,0.65
584,2019,성북구,성북동,2.86
585,2019,성북구,삼선동,0.92
586,2019,성북구,동선동,0.73
587,2019,성북구,종암동,1.46
588,2019,성북구,석관동,1.73
590,2019,강북구,번1동,0.66
591,2019,강북구,번2동,0.95
592,2019,강북구,번3동,1.1
593,2019,강북구,수유1동,1.67
594,2019,강북구,수유2동,0.57
595,2019,강북구,수유3동,0.72
596,2019,강북구,삼양동,0.91
597,2019,강북구,미아동,0.93
598,2019,강북구,송중동,1.01
599,2019,강북구,송천동,0.9
600,2019,강북구,삼각산동,0.62
601,2019,강북구,우이동,10.28
602,2019,강북구,인수동,3.28
604,2019,도봉구,쌍문1동,1.24
605,2019,도봉구,쌍문2동,0.54
606,2019,도봉구,쌍문3동,0.5
607,2019,도봉구,쌍문4동,0.52
608,2019,도봉구,방학1동,0.69
609,2019,도봉구,방학2동,0.74
610,2019,도봉구,방학3동,2.64
611,2019,도봉구,창1동,0.88
612,2019,도봉구,창2동,1.07
613,2019,도봉구,창3동,0.67
614,2019,도봉구,창4동,0.96
615,2019,도봉구,창5동,0.7
616,2019,도봉구,도봉1동,8.72
617,2019,도봉구,도봉2동,0.83
619,2019,노원구,월계1동,1.16
620,2019,노원구,월계2동,1.94
621,2019,노원구,월계3동,1.17
622,2019,노원구,공릉2동,6.82
623,2019,노원구,하계1동,1.55
624,2019,노원구,하계2동,0.51
625,2019,노원구,중계본동,1.97
626,2019,노원구,중계1동,0.63
627,2019,노원구,중계4동,1.7
628,2019,노원구,상계1동,5.62
629,2019,노원구,상계2동,0.61
630,2019,노원구,상계5동,0.44
631,2019,노원구,상계8동,0.67
632,2019,노원구,상계9동,0.81
633,2019,노원구,상계10동,0.8
634,2019,노원구,상계3.4동,5.62
635,2019,노원구,상계6.7동,1.11
636,2019,노원구,중계2.3동,0.9
637,2019,노원구,공릉1동,1.41
639,2019,은평구,녹번동,1.79
640,2019,은평구,불광1동,3.13
641,2019,은평구,갈현1동,0.97
642,2019,은평구,갈현2동,0.96
643,2019,은평구,구산동,1.38
644,2019,은평구,대조동,0.85
645,2019,은평구,응암1동,1.2
646,2019,은평구,응암2동,0.78
647,2019,은평구,신사1동,0.84
648,2019,은평구,신사2동,1.0
649,2019,은평구,증산동,0.81
650,2019,은평구,수색동,1.29
651,2019,은평구,진관동,11.53
652,2019,은평구,불광2동,1.38
653,2019,은평구,응암3동,0.63
654,2019,은평구,역촌동,1.16
656,2019,서대문구,천연동,0.97
657,2019,서대문구,홍제1동,1.23
658,2019,서대문구,홍제3동,0.81
659,2019,서대문구,홍제2동,1.05
660,2019,서대문구,홍은1동,1.58
661,2019,서대문구,홍은2동,2.06
662,2019,서대문구,남가좌1동,0.51
663,2019,서대문구,남가좌2동,0.77
664,2019,서대문구,북가좌1동,0.55
665,2019,서대문구,북가좌2동,0.84
666,2019,서대문구,충현동,1.12
667,2019,서대문구,북아현동,0.46
668,2019,서대문구,신촌동,2.63
669,2019,서대문구,연희동,3.05
671,2019,마포구,용강동,0.84
672,2019,마포구,대흥동,0.88
673,2019,마포구,염리동,0.43
674,2019,마포구,신수동,0.78
675,2019,마포구,서교동,1.65
676,2019,마포구,합정동,1.72
677,2019,마포구,망원1동,1.13
678,2019,마포구,망원2동,0.67
679,2019,마포구,연남동,0.64
680,2019,마포구,성산1동,0.8
681,2019,마포구,성산2동,2.07
682,2019,마포구,상암동,8.4
683,2019,마포구,도화동,0.62
684,2019,마포구,서강동,1.45
685,2019,마포구,공덕동,1.01
686,2019,마포구,아현동,0.76
688,2019,양천구,목1동,1.41
689,2019,양천구,목2동,1.03
690,2019,양천구,목3동,0.53
691,2019,양천구,목4동,0.57
692,2019,양천구,신월1동,0.65
693,2019,양천구,신월2동,0.61
694,2019,양천구,신월3동,0.87
695,2019,양천구,신월4동,0.52
696,2019,양천구,신월5동,0.69
697,2019,양천구,신월6동,0.41
698,2019,양천구,신월7동,1.19
699,2019,양천구,신정1동,0.7
700,2019,양천구,신정2동,0.52
701,2019,양천구,신정3동,2.72
702,2019,양천구,신정6동,0.96
703,2019,양천구,신정7동,1.21
704,2019,양천구,목5동,1.81
705,2019,양천구,신정4동,1.01
707,2019,강서구,염창동,1.74
708,2019,강서구,등촌1동,0.59
709,2019,강서구,등촌2동,0.92
710,2019,강서구,등촌3동,0.79
711,2019,강서구,화곡본동,1.11
712,2019,강서구,화곡2동,0.47
713,2019,강서구,화곡3동,0.51
714,2019,강서구,화곡4동,0.82
715,2019,강서구,화곡6동,1.12
716,2019,강서구,화곡8동,0.53
717,2019,강서구,가양1동,4.7
718,2019,강서구,가양2동,1.0
719,2019,강서구,가양3동,0.99
720,2019,강서구,발산1동,2.96
721,2019,강서구,공항동,10.87
722,2019,강서구,방화1동,1.04
723,2019,강서구,방화2동,6.41
724,2019,강서구,방화3동,2.38
725,2019,강서구,화곡1동,1.12
726,2019,강서구,우장산동,1.36
728,2019,구로구,신도림동,1.47
729,2019,구로구,구로1동,1.02
730,2019,구로구,구로3동,1.02
731,2019,구로구,구로4동,0.46
732,2019,구로구,구로5동,1.03
733,2019,구로구,고척1동,1.16
734,2019,구로구,고척2동,1.02
735,2019,구로구,개봉2동,0.8
736,2019,구로구,개봉3동,0.81
737,2019,구로구,오류1동,0.59
738,2019,구로구,수궁동,2.67
739,2019,구로구,가리봉동,0.4
740,2019,구로구,구로2동,1.76
741,2019,구로구,개봉1동,1.31
742,2019,구로구,오류2동,4.6
744,2019,금천구,가산동,2.52
745,2019,금천구,독산1동,2.09
746,2019,금천구,독산2동,0.6
747,2019,금천구,독산3동,0.92
748,2019,금천구,독산4동,0.59
749,2019,금천구,시흥1동,1.71
750,2019,금천구,시흥2동,1.26
751,2019,금천구,시흥3동,1.07
752,2019,금천구,시흥4동,0.87
753,2019,금천구,시흥5동,1.39
755,2019,영등포구,여의동,8.4
756,2019,영등포구,당산1동,0.75
757,2019,영등포구,당산2동,1.55
758,2019,영등포구,양평1동,0.88
759,2019,영등포구,양평2동,3.0
760,2019,영등포구,신길1동,0.66
761,2019,영등포구,신길3동,0.52
762,2019,영등포구,신길4동,0.35
763,2019,영등포구,신길5동,0.47
764,2019,영등포구,신길6동,0.68
765,2019,영등포구,신길7동,0.64
766,2019,영등포구,대림1동,0.49
767,2019,영등포구,대림2동,0.55
768,2019,영등포구,대림3동,0.95
769,2019,영등포구,영등포본동,1.02
770,2019,영등포구,영등포동,1.26
771,2019,영등포구,도림동,0.89
772,2019,영등포구,문래동,1.49
774,2019,동작구,노량진2동,0.64
775,2019,동작구,상도1동,1.51
776,2019,동작구,상도2동,0.98
777,2019,동작구,상도3동,0.6
778,2019,동작구,상도4동,0.75
779,2019,동작구,사당1동,0.79
780,2019,동작구,사당3동,0.92
781,2019,동작구,사당4동,0.38
782,2019,동작구,사당5동,0.57
783,2019,동작구,대방동,1.55
784,2019,동작구,신대방1동,0.62
785,2019,동작구,신대방2동,1.03
786,2019,동작구,흑석동,1.68
787,2019,동작구,노량진1동,1.58
788,2019,동작구,사당2동,2.75
790,2019,관악구,보라매동,0.76
791,2019,관악구,청림동,0.3
792,2019,관악구,행운동,0.72
793,2019,관악구,낙성대동,2.27
794,2019,관악구,중앙동,0.39
795,2019,관악구,인헌동,1.08
796,2019,관악구,남현동,3.27
797,2019,관악구,서원동,0.65
798,2019,관악구,신원동,0.55
799,2019,관악구,서림동,0.99
800,2019,관악구,신사동,0.64
801,2019,관악구,신림동,0.54
802,2019,관악구,난향동,0.8
803,2019,관악구,조원동,0.67
804,2019,관악구,대학동,8.3
805,2019,관악구,은천동,0.78
806,2019,관악구,성현동,0.68
807,2019,관악구,청룡동,1.18
808,2019,관악구,난곡동,0.96
809,2019,관악구,삼성동,2.66
810,2019,관악구,미성동,1.38
812,2019,서초구,서초1동,1.42
813,2019,서초구,서초2동,1.24
814,2019,서초구,서초3동,2.93
