,구,동,평균유동인구
0,종로구,청운효자동,13676.833333333332
1,종로구,사직동,21816.666666666664
2,종로구,삼청동,4547.833333333334
3,종로구,부암동,4436.166666666666
4,종로구,평창동,1126.5
5,종로구,무악동,35228.66666666667
6,종로구,교남동,79097.16666666666
7,종로구,가회동,15522.5
8,종로구,종로1.2.3.4가동,22052.5
9,종로구,종로5.6가동,63953.5
10,종로구,이화동,38468.0
11,종로구,혜화동,61992.66666666667
12,종로구,창신1동,75749.16666666666
13,종로구,창신2동,194472.1666666667
14,종로구,창신3동,72872.33333333334
15,종로구,숭인1동,84690.0
16,종로구,숭인2동,119280.83333333334
17,중구,소공동,21746.833333333336
18,중구,회현동,26552.333333333336
19,중구,명동,39169.16666666667
20,중구,필동,10915.666666666668
21,중구,장충동,15258.5
22,중구,광희동,41466.33333333333
23,중구,을지로동,58353.83333333333
24,중구,신당동,103354.16666666666
25,중구,다산동,66762.83333333334
26,중구,약수동,41235.83333333333
27,중구,청구동,99367.5
28,중구,신당5동,90149.0
29,중구,동화동,73718.0
30,중구,황학동,158439.8333333333
31,중구,중림동,44093.33333333333
32,용산구,후암동,37943.16666666667
33,용산구,용산2가동,16663.833333333332
34,용산구,남영동,23737.333333333336
35,용산구,청파동,76798.0
36,용산구,원효로1동,85648.5
37,용산구,원효로2동,37111.0
38,용산구,효창동,73365.5
39,용산구,용문동,85780.33333333334
40,용산구,한강로동,14685.833333333332
41,용산구,이촌1동,25428.833333333336
42,용산구,이촌2동,10585.0
43,용산구,이태원1동,39178.83333333333
44,용산구,이태원2동,31952.833333333336
45,용산구,한남동,15475.5
46,용산구,서빙고동,5929.5
47,용산구,보광동,33285.166666666664
48,성동구,왕십리2동,109563.0
49,성동구,왕십리도선동,72979.0
50,성동구,마장동,36168.0
51,성동구,사근동,22448.166666666664
52,성동구,행당1동,66775.83333333334
53,성동구,행당2동,87044.16666666666
54,성동구,응봉동,47575.16666666667
55,성동구,금호1가동,90219.66666666666
56,성동구,금호2.3가동,88900.33333333334
57,성동구,금호4가동,21471.666666666664
58,성동구,옥수동,22322.5
59,성동구,성수1가1동,14273.833333333332
60,성동구,성수1가2동,47656.66666666667
61,성동구,성수2가1동,36737.5
62,성동구,성수2가3동,46921.66666666667
63,성동구,송정동,50595.33333333333
64,성동구,용답동,13090.0
65,광진구,화양동,86027.83333333334
66,광진구,군자동,74556.5
67,광진구,중곡1동,62206.0
68,광진구,중곡2동,82555.16666666666
69,광진구,중곡3동,74603.16666666666
70,광진구,중곡4동,31339.0
71,광진구,능동,18258.5
72,광진구,광장동,20741.833333333336
73,광진구,자양1동,128463.33333333334
74,광진구,자양2동,32517.666666666664
75,광진구,자양3동,71448.0
76,광진구,자양4동,65061.5
77,광진구,구의1동,145328.0
78,광진구,구의2동,38029.83333333333
79,광진구,구의3동,41979.33333333333
80,동대문구,용신동,72548.33333333334
81,동대문구,제기동,79153.5
82,동대문구,전농1동,97846.5
83,동대문구,전농2동,25212.666666666664
84,동대문구,답십리1동,82567.0
85,동대문구,답십리2동,72114.66666666666
86,동대문구,장안1동,65751.66666666666
87,동대문구,장안2동,67231.0
88,동대문구,청량리동,41750.83333333333
89,동대문구,회기동,56888.16666666667
90,동대문구,휘경1동,106085.16666666666
91,동대문구,휘경2동,43700.83333333333
92,동대문구,이문1동,80716.16666666666
93,동대문구,이문2동,52802.33333333333
94,중랑구,면목2동,76099.33333333334
95,중랑구,면목4동,68243.66666666666
96,중랑구,면목5동,45242.5
97,중랑구,면목본동,112782.0
98,중랑구,면목7동,51462.83333333333
99,중랑구,면목3.8동,35093.0
100,중랑구,상봉1동,57445.5
101,중랑구,상봉2동,95604.0
102,중랑구,중화1동,91441.83333333334
103,중랑구,중화2동,69106.0
104,중랑구,묵1동,56267.0
105,중랑구,묵2동,82004.66666666666
106,중랑구,망우본동,32076.5
107,중랑구,망우3동,40782.16666666667
108,중랑구,신내1동,23477.833333333336
109,중랑구,신내2동,28343.833333333336
110,성북구,성북동,6468.5
111,성북구,삼선동,83154.16666666666
112,성북구,동선동,102189.16666666666
113,성북구,돈암1동,47998.83333333333
114,성북구,돈암2동,68755.33333333334
115,성북구,안암동,39174.0
116,성북구,보문동,82708.0
117,성북구,정릉1동,104446.5
118,성북구,정릉2동,41206.5
119,성북구,정릉3동,7611.166666666666
120,성북구,정릉4동,8747.833333333332
121,성북구,길음1동,80418.5
122,성북구,길음2동,93241.83333333334
123,성북구,종암동,63585.5
124,성북구,월곡1동,71833.83333333334
125,성북구,월곡2동,45627.33333333333
126,성북구,장위1동,125629.0
127,성북구,장위2동,59963.0
128,성북구,장위3동,33431.83333333333
129,성북구,석관동,44393.33333333333
130,강북구,삼양동,83779.66666666666
131,강북구,미아동,58659.66666666667
132,강북구,송중동,98740.33333333334
133,강북구,송천동,116135.33333333334
134,강북구,삼각산동,45628.0
135,강북구,번1동,97479.0
136,강북구,번2동,34421.5
137,강북구,번3동,25103.166666666664
138,강북구,수유1동,33660.5
139,강북구,수유2동,95555.16666666666
140,강북구,수유3동,116526.0
141,강북구,우이동,3332.333333333333
142,강북구,인수동,28897.166666666664
143,도봉구,창1동,44476.66666666667
144,도봉구,창2동,136624.3333333333
