,구,동,평균유동인구
0,종로구,청운효자동,13323.0
1,종로구,사직동,23602.666666666664
2,종로구,삼청동,4383.5
3,종로구,부암동,4737.666666666666
4,종로구,평창동,1495.1666666666665
5,종로구,무악동,36092.5
6,종로구,교남동,67778.83333333334
7,종로구,가회동,16168.0
8,종로구,종로1.2.3.4가동,22120.333333333336
9,종로구,종로5.6가동,62754.33333333333
10,종로구,이화동,39704.16666666667
11,종로구,혜화동,59913.33333333333
12,종로구,창신1동,91550.66666666666
13,종로구,창신2동,187471.5
14,종로구,창신3동,55378.0
15,종로구,숭인1동,98968.0
16,종로구,숭인2동,133211.1666666667
17,중구,소공동,20820.166666666664
18,중구,회현동,27559.0
19,중구,명동,37360.0
20,중구,필동,10123.5
21,중구,장충동,14786.166666666668
22,중구,광희동,42016.33333333333
23,중구,을지로동,54805.5
24,중구,신당동,104840.66666666666
25,중구,다산동,74516.16666666666
26,중구,약수동,50020.83333333333
27,중구,청구동,114988.16666666666
28,중구,신당5동,101732.5
29,중구,동화동,86855.16666666666
30,중구,황학동,162364.8333333333
31,중구,중림동,44821.5
32,용산구,후암동,40417.33333333333
33,용산구,용산2가동,16895.5
34,용산구,남영동,23110.5
35,용산구,청파동,78555.66666666666
36,용산구,원효로1동,85206.0
37,용산구,원효로2동,34776.83333333333
38,용산구,효창동,77076.5
39,용산구,용문동,96645.33333333334
40,용산구,한강로동,13667.666666666668
41,용산구,이촌1동,27745.0
42,용산구,이촌2동,12264.333333333332
43,용산구,이태원1동,32069.333333333336
44,용산구,이태원2동,36238.0
45,용산구,한남동,17073.0
46,용산구,서빙고동,6291.833333333334
47,용산구,보광동,38298.33333333333
48,성동구,왕십리2동,127107.0
49,성동구,왕십리도선동,67882.0
50,성동구,마장동,41349.66666666667
51,성동구,사근동,22985.166666666664
52,성동구,행당1동,81139.66666666666
53,성동구,행당2동,83621.5
54,성동구,응봉동,54832.0
55,성동구,금호1가동,82204.83333333334
56,성동구,금호2.3가동,92000.33333333334
57,성동구,금호4가동,24888.833333333336
58,성동구,옥수동,24070.833333333336
59,성동구,성수1가1동,12627.333333333332
60,성동구,성수1가2동,54446.83333333333
61,성동구,성수2가1동,40943.0
62,성동구,성수2가3동,47937.16666666667
63,성동구,송정동,49580.0
64,성동구,용답동,12233.166666666668
65,광진구,화양동,80086.66666666666
66,광진구,군자동,73360.0
67,광진구,중곡1동,68989.0
68,광진구,중곡2동,92164.33333333334
69,광진구,중곡3동,83450.16666666666
70,광진구,중곡4동,33179.166666666664
71,광진구,능동,18443.166666666664
72,광진구,광장동,23085.833333333336
73,광진구,자양1동,137184.1666666667
74,광진구,자양2동,31308.833333333336
75,광진구,자양3동,76799.16666666666
76,광진구,자양4동,63746.16666666667
77,광진구,구의1동,124203.16666666667
78,광진구,구의2동,48436.66666666667
79,광진구,구의3동,43097.5
80,동대문구,용신동,74438.5
81,동대문구,제기동,76760.16666666666
82,동대문구,전농1동,104162.16666666666
83,동대문구,전농2동,26465.0
84,동대문구,답십리1동,90396.5
85,동대문구,답십리2동,74946.83333333334
86,동대문구,장안1동,69994.33333333334
87,동대문구,장안2동,66264.0
88,동대문구,청량리동,47649.16666666667
89,동대문구,회기동,56470.66666666667
90,동대문구,휘경1동,104541.5
91,동대문구,휘경2동,45117.33333333333
92,동대문구,이문1동,81386.33333333334
93,동대문구,이문2동,61932.0
94,중랑구,면목2동,87511.83333333334
95,중랑구,면목4동,72669.33333333334
96,중랑구,면목5동,38324.0
97,중랑구,면목본동,125209.33333333334
98,중랑구,면목7동,54139.0
99,중랑구,면목3.8동,38272.5
100,중랑구,상봉1동,63682.33333333333
101,중랑구,상봉2동,91185.66666666666
102,중랑구,중화1동,94937.33333333334
103,중랑구,중화2동,81087.0
104,중랑구,묵1동,59082.16666666667
105,중랑구,묵2동,78971.0
106,중랑구,망우본동,32414.0
107,중랑구,망우3동,43908.5
108,중랑구,신내1동,22871.0
109,중랑구,신내2동,30493.5
110,성북구,성북동,6378.0
111,성북구,삼선동,83890.16666666666
112,성북구,동선동,104575.83333333334
113,성북구,돈암1동,58729.16666666667
114,성북구,돈암2동,69589.5
115,성북구,안암동,34966.66666666667
116,성북구,보문동,90442.33333333334
117,성북구,정릉1동,115106.16666666666
118,성북구,정릉2동,44801.0
119,성북구,정릉3동,7651.5
120,성북구,정릉4동,9481.333333333332
121,성북구,길음1동,89332.33333333334
122,성북구,길음2동,88850.0
123,성북구,종암동,66536.16666666666
124,성북구,월곡1동,71485.16666666666
125,성북구,월곡2동,52584.33333333333
126,성북구,장위1동,101013.33333333334
