,구,동,평균유동인구
0,종로구,청운효자동,13512.833333333332
1,종로구,사직동,26880.666666666664
2,종로구,삼청동,4994.166666666666
3,종로구,부암동,4129.333333333334
4,종로구,평창동,1440.8333333333335
5,종로구,무악동,36727.0
6,종로구,교남동,64190.0
7,종로구,가회동,19217.0
8,종로구,종로1.2.3.4가동,27120.0
9,종로구,종로5.6가동,71163.0
10,종로구,이화동,41971.16666666667
11,종로구,혜화동,67396.83333333334
12,종로구,창신1동,110105.0
13,종로구,창신2동,181782.6666666667
14,종로구,창신3동,51425.0
15,종로구,숭인1동,101204.16666666666
16,종로구,숭인2동,143884.8333333333
17,중구,소공동,26604.833333333336
18,중구,회현동,33763.0
19,중구,명동,49649.5
20,중구,필동,13740.0
21,중구,장충동,17188.666666666664
22,중구,광희동,44546.0
23,중구,을지로동,60690.33333333333
24,중구,신당동,111328.5
25,중구,다산동,78032.66666666666
26,중구,약수동,41987.5
27,중구,청구동,115908.16666666666
28,중구,신당5동,101825.83333333334
29,중구,동화동,81057.83333333334
30,중구,황학동,161802.8333333333
31,중구,중림동,45101.83333333333
32,용산구,후암동,38582.0
33,용산구,용산2가동,15888.5
34,용산구,남영동,26776.5
35,용산구,청파동,80655.66666666666
36,용산구,원효로1동,80389.0
37,용산구,원효로2동,32119.333333333336
38,용산구,효창동,74155.0
39,용산구,용문동,103142.5
40,용산구,한강로동,14565.833333333332
41,용산구,이촌1동,26818.166666666664
42,용산구,이촌2동,10972.333333333332
43,용산구,이태원1동,41812.16666666667
44,용산구,이태원2동,35825.33333333333
45,용산구,한남동,16080.0
46,용산구,서빙고동,5939.0
47,용산구,보광동,38644.5
48,성동구,왕십리2동,113950.16666666666
49,성동구,왕십리도선동,60459.5
50,성동구,마장동,44883.33333333333
51,성동구,사근동,22419.833333333336
52,성동구,행당1동,99093.66666666666
53,성동구,행당2동,76447.0
54,성동구,응봉동,54484.66666666667
55,성동구,금호1가동,87110.5
56,성동구,금호2.3가동,95847.5
57,성동구,금호4가동,21581.833333333336
58,성동구,옥수동,25879.333333333336
59,성동구,성수1가1동,12787.166666666668
60,성동구,성수1가2동,49708.16666666667
61,성동구,성수2가1동,39713.33333333333
62,성동구,성수2가3동,44561.5
63,성동구,송정동,47716.16666666667
64,성동구,용답동,12690.5
65,광진구,화양동,85780.66666666666
66,광진구,군자동,75247.0
67,광진구,중곡1동,64443.33333333333
68,광진구,중곡2동,88458.5
69,광진구,중곡3동,86066.5
70,광진구,중곡4동,34918.0
71,광진구,능동,18240.166666666664
72,광진구,광장동,23498.0
73,광진구,자양1동,141205.3333333333
74,광진구,자양2동,31827.0
75,광진구,자양3동,73653.66666666666
76,광진구,자양4동,64252.0
77,광진구,구의1동,123621.16666666666
78,광진구,구의2동,48856.83333333333
79,광진구,구의3동,45370.83333333333
80,동대문구,용신동,72799.33333333334
81,동대문구,제기동,88163.66666666666
82,동대문구,전농1동,102913.66666666666
83,동대문구,전농2동,26556.166666666664
84,동대문구,답십리1동,87278.33333333334
85,동대문구,답십리2동,67306.0
86,동대문구,장안1동,70131.83333333334
87,동대문구,장안2동,64383.83333333333
88,동대문구,청량리동,48859.83333333333
89,동대문구,회기동,57736.16666666667
90,동대문구,휘경1동,107224.16666666666
91,동대문구,휘경2동,44634.5
92,동대문구,이문1동,85754.0
93,동대문구,이문2동,63826.16666666667
94,중랑구,면목2동,80770.66666666666
95,중랑구,면목4동,70085.66666666666
96,중랑구,면목5동,40676.5
97,중랑구,면목본동,129588.66666666666
98,중랑구,면목7동,50616.83333333333
99,중랑구,면목3.8동,38664.5
100,중랑구,상봉1동,64235.83333333333
101,중랑구,상봉2동,98462.66666666666
102,중랑구,중화1동,89673.0
103,중랑구,중화2동,74138.16666666666
104,중랑구,묵1동,60709.33333333333
105,중랑구,묵2동,78188.5
106,중랑구,망우본동,29878.333333333336
107,중랑구,망우3동,42382.0
108,중랑구,신내1동,20986.0
109,중랑구,신내2동,29946.666666666664
110,성북구,성북동,6116.333333333334
111,성북구,삼선동,91877.83333333334
112,성북구,동선동,117573.5
113,성북구,돈암1동,68977.0
114,성북구,돈암2동,45406.66666666667
115,성북구,안암동,41366.83333333333
116,성북구,보문동,91967.5
117,성북구,정릉1동,115085.33333333334
118,성북구,정릉2동,45264.83333333333
119,성북구,정릉3동,7628.166666666666
120,성북구,정릉4동,9720.166666666668
121,성북구,길음1동,83548.0
122,성북구,길음2동,78134.16666666666
123,성북구,종암동,63027.33333333333
124,성북구,월곡1동,63280.5
125,성북구,월곡2동,52792.66666666667
126,성북구,장위1동,102695.83333333334
127,성북구,장위2동,73011.66666666666
128,성북구,장위3동,38704.66666666667
129,성북구,석관동,48323.0
130,강북구,삼양동,88491.0
131,강북구,미아동,60373.33333333333
132,강북구,송중동,95527.66666666666
133,강북구,송천동,119208.16666666666
134,강북구,삼각산동,55755.83333333333
135,강북구,번1동,116258.66666666666
136,강북구,번2동,33010.166666666664
137,강북구,번3동,27276.666666666664
138,강북구,수유1동,35906.66666666667
139,강북구,수유2동,110990.0
140,강북구,수유3동,124577.5
141,강북구,우이동,3411.0
142,강북구,인수동,29208.666666666664
143,도봉구,창1동,47947.5
144,도봉구,창2동,122864.16666666666
145,도봉구,창3동,60453.83333333333
146,도봉구,창4동,33097.666666666664
147,도봉구,창5동,76702.16666666666
148,도봉구,도봉1동,3708.0
149,도봉구,도봉2동,23110.833333333336
150,도봉구,쌍문1동,36121.0
151,도봉구,쌍문2동,94508.33333333334
152,도봉구,쌍문3동,97855.0
153,도봉구,쌍문4동,54473.83333333333
154,도봉구,방학1동,60420.0
155,도봉구,방학2동,38269.5
156,도봉구,방학3동,18286.5
157,노원구,월계1동,50306.33333333333
158,노원구,월계2동,17439.0
159,노원구,월계3동,16090.333333333332
160,노원구,공릉1동,89809.5
161,노원구,공릉2동,10057.166666666668
162,노원구,하계1동,30509.166666666664
163,노원구,하계2동,61074.66666666667
164,노원구,중계본동,19555.166666666664
165,노원구,중계1동,62191.33333333333
166,노원구,중계4동,21265.666666666664
167,노원구,중계2.3동,53469.33333333333
168,노원구,상계1동,12038.833333333332
169,노원구,상계2동,170262.5
170,노원구,상계3.4동,11649.0
171,노원구,상계5동,106661.5
172,노원구,상계6.7동,40744.5
173,노원구,상계8동,16744.833333333336
174,노원구,상계9동,28312.0
175,노원구,상계10동,33374.16666666667
176,은평구,녹번동,45411.33333333333
177,은평구,불광1동,18834.666666666664
178,은평구,불광2동,53659.83333333333
179,은평구,갈현1동,100788.33333333334
180,은평구,갈현2동,68732.0
181,은평구,구산동,49792.5
182,은평구,대조동,131929.66666666666
183,은평구,응암1동,65088.0
184,은평구,응암2동,45475.16666666667
185,은평구,응암3동,120409.66666666666
186,은평구,역촌동,129319.16666666666
187,은평구,신사1동,88726.66666666666
188,은평구,신사2동,47724.33333333333
