구별,,0
종로구,2018,160528.0
종로구,2019,164079.0
종로구,2020,183481.0
종로구,2021,162739.0
종로구,2022,112082.0
중구,2018,158119.0
중구,2019,172213.0
중구,2020,153967.0
중구,2021,155137.0
중구,2022,182320.0
용산구,2018,94529.0
용산구,2019,65339.0
용산구,2020,70902.0
용산구,2021,72531.0
용산구,2022,83674.0
성동구,2018,92167.0
성동구,2019,86771.0
성동구,2020,64482.0
성동구,2021,63102.0
성동구,2022,60161.0
광진구,2018,65839.0
광진구,2019,61448.0
광진구,2020,60043.0
광진구,2021,58019.0
광진구,2022,42221.0
동대문구,2018,88106.0
동대문구,2019,84899.0
동대문구,2020,98551.0
동대문구,2021,80911.0
동대문구,2022,71294.0
중랑구,2018,47691.0
중랑구,2019,46548.0
중랑구,2020,37111.0
중랑구,2021,38434.0
중랑구,2022,41410.0
성북구,2018,49560.0
성북구,2019,59805.0
성북구,2020,50663.0
성북구,2021,41141.0
성북구,2022,40401.0
강북구,2018,50378.0
강북구,2019,59388.0
강북구,2020,52034.0
강북구,2021,53283.0
강북구,2022,47523.0
도봉구,2018,60759.0
도봉구,2019,55876.0
도봉구,2020,42378.0
도봉구,2021,50329.0
도봉구,2022,48377.0
노원구,2018,82001.0
노원구,2019,80343.0
노원구,2020,61993.0
노원구,2021,55574.0
노원구,2022,58605.0
은평구,2018,94238.0
은평구,2019,101536.0
은평구,2020,74121.0
은평구,2021,69261.0
은평구,2022,52757.0
서대문구,2018,64355.0
서대문구,2019,67032.0
서대문구,2020,52186.0
서대문구,2021,42421.0
서대문구,2022,45879.0
마포구,2018,153066.0
마포구,2019,153511.0
마포구,2020,115731.0
마포구,2021,100582.0
마포구,2022,95923.0
양천구,2018,106517.0
양천구,2019,116091.0
양천구,2020,87355.0
양천구,2021,75744.0
양천구,2022,70248.0
강서구,2018,148538.0
강서구,2019,175000.0
강서구,2020,170141.0
강서구,2021,182210.0
강서구,2022,145065.0
구로구,2018,99637.0
구로구,2019,97027.0
구로구,2020,76618.0
구로구,2021,66904.0
구로구,2022,69162.0
금천구,2018,55896.0
금천구,2019,59891.0
금천구,2020,53328.0
금천구,2021,52403.0
금천구,2022,44746.0
영등포구,2018,166145.0
영등포구,2019,163508.0
영등포구,2020,136373.0
영등포구,2021,107341.0
영등포구,2022,101742.0
동작구,2018,71541.0
동작구,2019,75463.0
동작구,2020,56196.0
동작구,2021,54046.0
동작구,2022,57340.0
관악구,2018,108822.0
관악구,2019,108397.0
관악구,2020,84144.0
관악구,2021,89539.0
관악구,2022,83226.0
서초구,2018,226984.0
서초구,2019,195046.0
서초구,2020,155582.0
서초구,2021,141181.0
서초구,2022,138560.0
강남구,2018,296820.0
강남구,2019,289884.0
강남구,2020,176273.0
강남구,2021,192211.0
강남구,2022,234023.0
송파구,2018,155516.0
송파구,2019,147977.0
송파구,2020,131855.0
송파구,2021,126284.0
송파구,2022,97753.0
강동구,2018,93692.0
강동구,2019,79254.0
강동구,2020,70150.0
강동구,2021,44459.0
강동구,2022,56574.0
