,구별,동별,승객수
185,동작구,사당2동,17032162.0
186,동작구,사당3동,2006349.0
187,동작구,사당4동,3928167.0
188,동작구,사당5동,1457483.0
189,동작구,상도1동,17639856.0
190,동작구,상도2동,6672300.0
191,동작구,상도3동,2801865.0
192,동작구,상도4동,2388036.0
193,동작구,신대방1동,2086652.0
194,동작구,신대방2동,4920223.0
195,동작구,흑석동,8641691.0
196,마포구,공덕동,15352354.0
197,마포구,대흥동,13144785.0
198,마포구,도화동,2462207.0
199,마포구,망원1동,2070973.0
200,마포구,망원2동,1644813.0
201,마포구,상암동,16901574.0
202,마포구,서강동,8060157.0
203,마포구,서교동,60134648.0
204,마포구,성산1동,2600917.0
205,마포구,성산2동,10469893.0
206,마포구,신수동,766779.0
207,마포구,아현동,9328062.0
208,마포구,연남동,2287588.0
209,마포구,염리동,1242643.0
210,마포구,용강동,6145193.0
211,마포구,합정동,2283201.0
212,서대문구,남가좌1동,4221426.0
213,서대문구,남가좌2동,4093986.0
214,서대문구,북가좌1동,1950857.0
215,서대문구,북가좌2동,3692260.0
216,서대문구,북아현동,2475360.0
217,서대문구,신촌동,26093916.0
218,서대문구,연희동,9549108.0
219,서대문구,천연동,5922194.0
220,서대문구,충현동,14766900.0
221,서대문구,홍은1동,2418420.0
222,서대문구,홍은2동,6876787.0
223,서대문구,홍제1동,12856212.0
224,서대문구,홍제2동,1948799.0
225,서대문구,홍제3동,3258893.0
226,서초구,내곡동,3392651.0
227,서초구,반포1동,7258074.0
228,서초구,반포2동,3433024.0
229,서초구,반포3동,4764548.0
230,서초구,반포4동,31754654.0
231,서초구,반포본동,1163908.0
232,서초구,방배1동,7308178.0
233,서초구,방배2동,3327160.0
234,서초구,방배3동,8791916.0
235,서초구,방배4동,3524302.0
236,서초구,방배본동,2462544.0
237,서초구,서초1동,17533529.0
238,서초구,서초2동,33836124.0
239,서초구,서초3동,23478922.0
240,서초구,서초4동,4608565.0
241,서초구,양재1동,24074775.0
242,서초구,양재2동,7973415.0
243,서초구,잠원동,4894040.0
244,성동구,금호1가동,3451578.0
245,성동구,금호2.3가동,1705829.0
246,성동구,금호4가동,4919775.0
247,성동구,마장동,3871594.0
248,성동구,사근동,6079167.0
249,성동구,성수1가1동,4027258.0
250,성동구,성수1가2동,8214983.0
251,성동구,성수2가1동,1970081.0
252,성동구,성수2가3동,13603249.0
253,성동구,송정동,1037903.0
254,성동구,옥수동,5533032.0
255,성동구,왕십리2동,5939436.0
256,성동구,왕십리도선동,2567734.0
257,성동구,용답동,13948519.0
258,성동구,응봉동,1604900.0
259,성동구,행당1동,14465722.0
260,성동구,행당2동,4399100.0
261,성북구,길음1동,12245019.0
262,성북구,길음2동,3612474.0
263,성북구,돈암1동,4754964.0
264,성북구,돈암2동,1817854.0
265,성북구,동선동,6018133.0
266,성북구,보문동,4787261.0
267,성북구,삼선동,19056839.0
268,성북구,석관동,10262135.0
269,성북구,성북동,4825402.0
270,성북구,안암동,6713695.0
271,성북구,월곡1동,3689200.0
272,성북구,월곡2동,7951954.0
273,성북구,장위1동,3009859.0
274,성북구,장위2동,5003592.0
275,성북구,장위3동,2125264.0
276,성북구,정릉1동,4051205.0
277,성북구,정릉2동,3531810.0
278,성북구,정릉3동,2712528.0
