,구,동,평균거주인구
168,노원구,상계1동,82.0
169,노원구,상계2동,343.83333333333337
170,노원구,상계3.4동,56.16666666666667
171,노원구,상계5동,468.0
172,노원구,상계6.7동,247.66666666666669
173,노원구,상계8동,371.5
174,노원구,상계9동,271.5
175,노원구,상계10동,215.5
176,은평구,녹번동,169.5
177,은평구,불광1동,104.33333333333334
178,은평구,불광2동,232.33333333333331
179,은평구,갈현1동,271.16666666666663
180,은평구,갈현2동,297.66666666666663
181,은평구,구산동,255.5
182,은평구,대조동,377.0
183,은평구,응암1동,233.5
184,은평구,응암2동,254.33333333333331
185,은평구,응암3동,346.16666666666663
186,은평구,역촌동,437.33333333333337
187,은평구,신사1동,340.5
188,은평구,신사2동,208.66666666666669
189,은평구,증산동,187.16666666666669
190,은평구,수색동,107.66666666666666
191,은평구,진관동,43.66666666666667
192,서대문구,천연동,216.16666666666669
193,서대문구,북아현동,363.66666666666663
194,서대문구,충현동,163.0
195,서대문구,신촌동,73.5
196,서대문구,연희동,126.33333333333334
197,서대문구,홍제1동,159.16666666666669
198,서대문구,홍제3동,154.0
199,서대문구,홍제2동,210.83333333333331
200,서대문구,홍은1동,147.83333333333331
201,서대문구,홍은2동,143.83333333333331
202,서대문구,남가좌1동,360.33333333333337
203,서대문구,남가좌2동,288.5
204,서대문구,북가좌1동,317.33333333333337
205,서대문구,북가좌2동,438.5
206,마포구,아현동,311.5
207,마포구,공덕동,419.5
208,마포구,도화동,262.5
209,마포구,용강동,219.5
210,마포구,대흥동,139.66666666666669
211,마포구,염리동,223.0
212,마포구,신수동,232.33333333333331
213,마포구,서강동,133.83333333333331
214,마포구,서교동,149.66666666666669
215,마포구,합정동,106.33333333333334
216,마포구,망원1동,191.83333333333331
217,마포구,망원2동,163.83333333333331
218,마포구,연남동,260.83333333333337
219,마포구,성산1동,233.5
220,마포구,성산2동,203.5
221,마포구,상암동,43.0
222,양천구,목1동,193.33333333333331
223,양천구,목2동,306.16666666666663
224,양천구,목3동,414.5
225,양천구,목4동,474.5
226,양천구,목5동,212.0
227,양천구,신월1동,354.16666666666663
228,양천구,신월2동,374.5
229,양천구,신월3동,181.5
230,양천구,신월4동,414.5
231,양천구,신월5동,300.83333333333337
232,양천구,신월6동,158.33333333333331
233,양천구,신월7동,184.16666666666669
234,양천구,신정1동,312.0
235,양천구,신정2동,355.0
236,양천구,신정3동,175.83333333333331
237,양천구,신정4동,355.83333333333337
238,양천구,신정6동,252.83333333333331
239,양천구,신정7동,263.66666666666663
240,강서구,염창동,208.66666666666669
241,강서구,등촌1동,346.33333333333337
242,강서구,등촌2동,237.33333333333331
243,강서구,등촌3동,325.0
244,강서구,화곡1동,451.0
245,강서구,화곡2동,440.33333333333337
246,강서구,화곡3동,437.83333333333337
247,강서구,화곡4동,266.5
248,강서구,화곡본동,359.16666666666663
249,강서구,화곡6동,238.83333333333331
