,건축물 대장 코드,동이름,건물이름,도로주소,용도,건축면적,대지면적
57,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
58,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
59,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
60,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
61,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
62,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
63,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
64,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
65,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
66,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
67,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
68,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
69,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
70,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
71,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
72,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
73,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
74,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
75,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
76,11215-1000000000000001407204,구의동,광진 파크하우스,서울특별시 광진구 자양로,공동주택,777.9131,0.0
77,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
78,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
79,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
80,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
81,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
82,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
83,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
84,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
85,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
86,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
87,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
88,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
89,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
90,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
91,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
92,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
93,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
94,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
95,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
96,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
97,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
98,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
99,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
100,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
101,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
102,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
103,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
104,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
105,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
