,주차장명,정보,전체주차면수,주차가능면,주차비율
3,건국대학교병원 주차장,전체주차면 : 659면 | 주차가능면 : 122면,659.0,122.0,81.48710166919575
4,건국대학교사범대학부속중학교 주차장,전체주차면 : 100면 | 주차가능면 : 10면,100.0,10.0,90.0
15,뚝섬1주차장[윈드서핑장 앞],전체주차면 : 67면 | 주차가능면 : 39면,67.0,39.0,41.7910447761194
16,뚝섬2주차장[안내센터 앞],전체주차면 : 356면 | 주차가능면 : 267면,356.0,267.0,25.0
17,뚝섬3주차장[수영장 앞],전체주차면 : 112면 | 주차가능면 : 81면,112.0,81.0,27.67857142857143
18,뚝섬4주차장[청담대교 하부],전체주차면 : 136면 | 주차가능면 : 64면,136.0,64.0,52.94117647058824
19,래미안프리미어팰리스 주차장,전체주차면 : 129면 | 주차가능면 : 129면,129.0,129.0,0.0
24,보건복지행정타운,전체주차면 : 391면 | 주차가능면 : 0면,391.0,0.0,100.0
28,성진강변스파랜드,전체주차면 : 139면 | 주차가능면 : 7면,139.0,7.0,94.96402877697841
29,스테이더디자이너스군자오피스텔 주차장,전체주차면 : 100면 | 주차가능면 : 24면,100.0,24.0,76.0
31,실로암사우나 중곡점 주차장,전체주차면 : 65면 | 주차가능면 : 18면,65.0,18.0,72.3076923076923
35,연한빌딩,전체주차면 : 47면 | 주차가능면 : 36면,47.0,36.0,23.404255319148938
36,와이엠프라젠스파,전체주차면 : 201면 | 주차가능면 : 200면,201.0,200.0,0.4975124378109453
44,편안한요양병원[광진자양점],전체주차면 : 65면 | 주차가능면 : 30면,65.0,30.0,53.84615384615385
