연번,수신일시,현재주차차량수
744925,2021-11-10 00:00:05,185
173521,2021-11-10 00:00:05,62
173885,2021-11-10 00:00:05,80
897368,2021-11-10 00:00:05,0
862823,2021-11-10 00:00:05,12
1583339,2021-11-10 00:00:05,1
1040225,2021-11-10 00:00:05,29
173440,2021-11-10 00:00:05,20
173447,2021-11-10 00:00:05,10
173499,2021-11-10 00:00:05,2
172605,2021-11-10 00:00:05,64
1441370,2021-11-10 00:00:05,0
767065,2021-11-10 00:00:05,0
173474,2021-11-10 00:00:05,28
1441360,2021-11-10 00:00:05,56
173389,2021-11-10 00:00:05,0
173810,2021-11-10 00:00:05,13
673439,2021-11-10 00:00:05,0
739990,2021-11-10 00:00:05,0
817981,2021-11-10 00:00:05,0
773255,2021-11-10 00:00:05,3
690231,2021-11-10 00:00:05,191
761224,2021-11-10 00:00:05,0
1428079,2021-11-10 00:00:05,39
1581248,2021-11-10 00:00:05,21
744920,2021-11-10 00:00:05,105
1434625,2021-11-10 00:00:05,91
968483,2021-11-10 00:00:05,103
1583603,2021-11-10 00:00:05,43
173821,2021-11-10 00:00:05,63
1372128,2021-11-10 00:00:05,35
765820,2021-11-10 00:00:05,87
1415438,2021-11-10 00:00:05,372
1816135,2021-11-10 00:00:05,8
816771,2021-11-10 00:00:05,3
816782,2021-11-10 00:00:05,21
700094,2021-11-10 00:00:06,0
1029107,2021-11-10 00:00:06,617
173701,2021-11-10 00:00:06,77
1051101,2021-11-10 00:00:06,568
1113401,2021-11-10 00:00:06,167
866663,2021-11-10 00:00:06,14
1496178,2021-11-10 00:00:06,0
173750,2021-11-10 00:00:06,17
1449042,2021-11-10 00:00:06,11
1580112,2021-11-10 00:00:06,77
1113282,2021-11-10 00:00:06,71
996492,2021-11-10 00:00:06,3
1587127,2021-11-10 00:00:06,106
805691,2021-11-10 00:00:06,0
949857,2021-11-10 00:00:06,67
764573,2021-11-10 00:00:06,22
662512,2021-11-10 00:00:06,70
832678,2021-11-10 00:00:06,27
1021034,2021-11-10 00:00:06,52
1380218,2021-11-10 00:00:06,159
668831,2021-11-10 00:00:06,488
1568792,2021-11-10 00:00:06,0
1570038,2021-11-10 00:00:06,0
1495593,2021-11-10 00:00:06,30
1569183,2021-11-10 00:00:06,1
1495594,2021-11-10 00:00:06,16
1495954,2021-11-10 00:00:06,0
1495580,2021-11-10 00:00:06,0
1570185,2021-11-10 00:00:06,0
1495568,2021-11-10 00:00:06,0
1565220,2021-11-10 00:00:06,0
173698,2021-11-10 00:00:06,73
1495566,2021-11-10 00:00:06,64
1495596,2021-11-10 00:00:06,4
1495386,2021-11-10 00:00:06,0
1495680,2021-11-10 00:00:06,1
1495622,2021-11-10 00:00:06,1
1495562,2021-11-10 00:00:06,164
1568804,2021-11-10 00:00:06,0
1566024,2021-11-10 00:00:06,1
1576989,2021-11-10 00:00:06,10
989647,2021-11-10 00:00:06,12
1448316,2021-11-10 00:00:06,35
173573,2021-11-10 00:00:06,22
1434470,2021-11-10 00:00:06,319
1910369,2021-11-10 00:00:06,60
744822,2021-11-10 00:00:06,630
1823658,2021-11-10 00:00:06,146
798382,2021-11-10 00:00:06,85
1273241,2021-11-10 00:00:06,75
1473187,2021-11-10 00:00:06,0
1406239,2021-11-10 00:00:06,68
1473526,2021-11-10 00:00:06,0
1567373,2021-11-10 00:00:06,2
1589043,2021-11-10 00:00:06,0
1473758,2021-11-10 00:00:06,0
1441378,2021-11-10 00:00:06,0
1911874,2021-11-10 00:00:06,0
173880,2021-11-10 00:00:06,1
1441348,2021-11-10 00:00:06,0
1566973,2021-11-10 00:00:06,0
1871569,2021-11-10 00:00:06,39
173874,2021-11-10 00:00:07,147
1247675,2021-11-10 00:00:07,93
173686,2021-11-10 00:00:07,152
173740,2021-11-10 00:00:07,145
1577279,2021-11-10 00:00:07,12
1370100,2021-11-10 00:00:07,46
173750,2021-11-10 00:00:07,10
173591,2021-11-10 00:00:07,130
172149,2021-11-10 00:00:07,1266
1570437,2021-11-10 00:00:07,0
1568617,2021-11-10 00:00:07,9
1473903,2021-11-10 00:00:07,0
1568192,2021-11-10 00:00:07,0
1473900,2021-11-10 00:00:07,0
1473884,2021-11-10 00:00:07,0
1140911,2021-11-10 00:00:07,7
173488,2021-11-10 00:00:07,48
1886488,2021-11-10 00:00:07,21
173750,2021-11-10 00:00:08,17
173528,2021-11-10 00:00:08,38
1583920,2021-11-10 00:00:08,31
1892047,2021-11-10 00:00:08,21
1579983,2021-11-10 00:00:09,0
173472,2021-11-10 00:00:09,78
1042402,2021-11-10 00:00:09,34
1441342,2021-11-10 00:00:09,73
1364468,2021-11-10 00:00:09,142
1441353,2021-11-10 00:00:09,29
1033754,2021-11-10 00:00:09,73
1042410,2021-11-10 00:00:09,76
1042405,2021-11-10 00:00:09,67
1042406,2021-11-10 00:00:09,7
1042421,2021-11-10 00:00:09,56
173437,2021-11-10 00:00:09,170
766536,2021-11-10 00:00:09,58
737803,2021-11-10 00:00:09,196
812056,2021-11-10 00:00:09,26
173359,2021-11-10 00:00:09,35
173534,2021-11-10 00:00:09,21
689611,2021-11-10 00:00:09,132
173874,2021-11-10 00:00:09,147
1247675,2021-11-10 00:00:09,93
173686,2021-11-10 00:00:09,152
173740,2021-11-10 00:00:09,145
1370100,2021-11-10 00:00:09,46
173750,2021-11-10 00:00:09,17
173591,2021-11-10 00:00:09,130
673195,2021-11-10 00:00:09,50
1364472,2021-11-10 00:00:09,86
173468,2021-11-10 00:00:09,113
744921,2021-11-10 00:00:09,115
1364466,2021-11-10 00:00:09,22
984489,2021-11-10 00:00:09,26
1033125,2021-11-10 00:00:09,4
897368,2021-11-10 00:00:09,0
862823,2021-11-10 00:00:09,12
1910611,2021-11-10 00:00:09,1
173499,2021-11-10 00:00:10,2
1441370,2021-11-10 00:00:10,0
767065,2021-11-10 00:00:10,0
173474,2021-11-10 00:00:10,28
673439,2021-11-10 00:00:10,0
688450,2021-11-10 00:00:10,99
1428079,2021-11-10 00:00:10,39
761224,2021-11-10 00:00:10,0
1581248,2021-11-10 00:00:10,21
1434625,2021-11-10 00:00:10,91
1588964,2021-11-10 00:00:10,136
173877,2021-11-10 00:00:10,67
1441362,2021-11-10 00:00:10,134
972221,2021-11-10 00:00:10,54
1425290,2021-11-10 00:00:10,9
1056837,2021-11-10 00:00:10,10
788447,2021-11-10 00:00:10,268
1247678,2021-11-10 00:00:10,146
1585128,2021-11-10 00:00:10,14
1030828,2021-11-10 00:00:10,58
690243,2021-11-10 00:00:10,177
795976,2021-11-10 00:00:10,72
1583339,2021-11-10 00:00:10,1
1040225,2021-11-10 00:00:10,29
173440,2021-11-10 00:00:10,20
173447,2021-11-10 00:00:10,10
173389,2021-11-10 00:00:10,0
739990,2021-11-10 00:00:10,0
173810,2021-11-10 00:00:10,13
1441360,2021-11-10 00:00:10,56
817981,2021-11-10 00:00:10,0
1580685,2021-11-10 00:00:10,70
769289,2021-11-10 00:00:10,1
885057,2021-11-10 00:00:10,10
739989,2021-11-10 00:00:10,398
773255,2021-11-10 00:00:10,3
690231,2021-11-10 00:00:10,191
1583603,2021-11-10 00:00:10,51
1581443,2021-11-10 00:00:10,81
744920,2021-11-10 00:00:10,105
173821,2021-11-10 00:00:10,63
1372128,2021-11-10 00:00:10,35
1415438,2021-11-10 00:00:10,372
1816135,2021-11-10 00:00:10,8
765820,2021-11-10 00:00:10,87
816782,2021-11-10 00:00:10,21
816771,2021-11-10 00:00:10,3
172912,2021-11-10 00:00:10,34
808595,2021-11-10 00:00:10,46
744925,2021-11-10 00:00:10,185
990163,2021-11-10 00:00:10,41
899187,2021-11-10 00:00:10,72
1434455,2021-11-10 00:00:10,48
173776,2021-11-10 00:00:10,6
173885,2021-11-10 00:00:10,80
173754,2021-11-10 00:00:10,0
996492,2021-11-10 00:00:10,3
1892049,2021-11-10 00:00:11,9
764573,2021-11-10 00:00:11,22
1021034,2021-11-10 00:00:11,52
173701,2021-11-10 00:00:11,77
1029107,2021-11-10 00:00:11,617
866663,2021-11-10 00:00:11,14
1051101,2021-11-10 00:00:11,568
1113401,2021-11-10 00:00:11,167
1495594,2021-11-10 00:00:11,16
1570038,2021-11-10 00:00:11,0
1569183,2021-11-10 00:00:11,1
1495596,2021-11-10 00:00:11,4
1473526,2021-11-10 00:00:11,0
1441378,2021-11-10 00:00:11,0
173880,2021-11-10 00:00:11,1
1589043,2021-11-10 00:00:11,0
1441348,2021-11-10 00:00:11,0
1871569,2021-11-10 00:00:11,38
1566973,2021-11-10 00:00:11,0
1568617,2021-11-10 00:00:11,9
1911874,2021-11-10 00:00:11,0
173874,2021-11-10 00:00:11,147
1247675,2021-11-10 00:00:11,93
173686,2021-11-10 00:00:11,152
173740,2021-11-10 00:00:11,145
1370100,2021-11-10 00:00:11,46
173750,2021-11-10 00:00:11,17
173591,2021-11-10 00:00:11,130
173582,2021-11-10 00:00:11,56
700094,2021-11-10 00:00:11,0
792654,2021-11-10 00:00:11,0
805691,2021-11-10 00:00:11,0
949857,2021-11-10 00:00:11,67
1587127,2021-11-10 00:00:11,106
662512,2021-11-10 00:00:11,70
832678,2021-11-10 00:00:11,27
1380218,2021-11-10 00:00:11,159
1495593,2021-11-10 00:00:11,30
1568792,2021-11-10 00:00:11,0
668831,2021-11-10 00:00:11,488
1496178,2021-11-10 00:00:11,0
1495954,2021-11-10 00:00:11,0
1495580,2021-11-10 00:00:11,0
1495386,2021-11-10 00:00:11,0
1448975,2021-11-10 00:00:11,0
1495566,2021-11-10 00:00:11,64
1495680,2021-11-10 00:00:11,1
1495622,2021-11-10 00:00:11,1
1495568,2021-11-10 00:00:11,0
1570185,2021-11-10 00:00:11,0
1568804,2021-11-10 00:00:11,0
1565220,2021-11-10 00:00:11,0
1495562,2021-11-10 00:00:11,164
1566024,2021-11-10 00:00:11,1
989647,2021-11-10 00:00:11,12
1576989,2021-11-10 00:00:11,10
1434470,2021-11-10 00:00:11,319
1448316,2021-11-10 00:00:11,35
173573,2021-11-10 00:00:11,22
744822,2021-11-10 00:00:11,630
1910369,2021-11-10 00:00:11,60
798382,2021-11-10 00:00:11,85
1273241,2021-11-10 00:00:11,73
1406239,2021-11-10 00:00:11,67
1823658,2021-11-10 00:00:11,147
1473187,2021-11-10 00:00:11,0
1473758,2021-11-10 00:00:11,0
1567373,2021-11-10 00:00:11,2
173874,2021-11-10 00:00:12,147
1247675,2021-11-10 00:00:12,93
173686,2021-11-10 00:00:12,152
1473900,2021-11-10 00:00:12,0
173488,2021-11-10 00:00:12,48
1703191,2021-11-10 00:00:12,1
1570437,2021-11-10 00:00:12,0
1568192,2021-11-10 00:00:12,0
1473903,2021-11-10 00:00:12,0
1473884,2021-11-10 00:00:12,0
1140911,2021-11-10 00:00:12,7
173740,2021-11-10 00:00:13,145
1370100,2021-11-10 00:00:13,46
173750,2021-11-10 00:00:13,17
173591,2021-11-10 00:00:13,130
1364468,2021-11-10 00:00:14,142
173472,2021-11-10 00:00:14,78
1042410,2021-11-10 00:00:14,76
1364466,2021-11-10 00:00:14,22
1521844,2021-11-10 00:00:14,2
173874,2021-11-10 00:00:14,147
1247675,2021-11-10 00:00:14,93
173686,2021-11-10 00:00:14,152
173740,2021-11-10 00:00:14,145
1582630,2021-11-10 00:00:14,165
960162,2021-11-10 00:00:14,124
173359,2021-11-10 00:00:14,35
1042402,2021-11-10 00:00:14,34
689611,2021-11-10 00:00:14,132
173468,2021-11-10 00:00:14,113
1042406,2021-11-10 00:00:14,7
744921,2021-11-10 00:00:14,115
766536,2021-11-10 00:00:14,58
737803,2021-11-10 00:00:14,196
984489,2021-11-10 00:00:14,26
812056,2021-11-10 00:00:14,26
1910611,2021-11-10 00:00:14,1
673195,2021-11-10 00:00:14,50
1364472,2021-11-10 00:00:14,86
173534,2021-11-10 00:00:14,21
1441342,2021-11-10 00:00:14,73
1033754,2021-11-10 00:00:14,73
1042405,2021-11-10 00:00:14,67
1042421,2021-11-10 00:00:14,56
173437,2021-11-10 00:00:14,170
1033125,2021-11-10 00:00:14,4
897368,2021-11-10 00:00:14,0
795976,2021-11-10 00:00:14,72
1579983,2021-11-10 00:00:14,0
1441353,2021-11-10 00:00:14,29
1428079,2021-11-10 00:00:15,39
1434625,2021-11-10 00:00:15,91
1372128,2021-11-10 00:00:15,35
1588964,2021-11-10 00:00:15,97
1247678,2021-11-10 00:00:15,146
1056837,2021-11-10 00:00:15,10
172912,2021-11-10 00:00:15,34
788447,2021-11-10 00:00:15,268
1370100,2021-11-10 00:00:15,46
173750,2021-11-10 00:00:15,17
173591,2021-11-10 00:00:15,130
769289,2021-11-10 00:00:15,1
739989,2021-11-10 00:00:15,398
773255,2021-11-10 00:00:15,3
761224,2021-11-10 00:00:15,0
1583603,2021-11-10 00:00:15,51
1581443,2021-11-10 00:00:15,81
173821,2021-11-10 00:00:15,63
173877,2021-11-10 00:00:15,67
1415438,2021-11-10 00:00:15,372
1816135,2021-11-10 00:00:15,8
765820,2021-11-10 00:00:15,87
1425290,2021-11-10 00:00:15,9
744925,2021-11-10 00:00:15,185
808595,2021-11-10 00:00:15,46
990163,2021-11-10 00:00:15,41
899187,2021-11-10 00:00:15,72
700094,2021-11-10 00:00:15,0
996492,2021-11-10 00:00:15,3
792654,2021-11-10 00:00:15,0
805691,2021-11-10 00:00:15,0
862823,2021-11-10 00:00:15,12
1583339,2021-11-10 00:00:15,1
1040225,2021-11-10 00:00:15,29
173499,2021-11-10 00:00:15,2
173440,2021-11-10 00:00:15,20
173447,2021-11-10 00:00:15,10
767065,2021-11-10 00:00:15,0
1441370,2021-11-10 00:00:15,0
173389,2021-11-10 00:00:15,0
173474,2021-11-10 00:00:15,28
173810,2021-11-10 00:00:15,13
1441360,2021-11-10 00:00:15,56
739990,2021-11-10 00:00:15,0
673439,2021-11-10 00:00:15,0
1580685,2021-11-10 00:00:15,70
885057,2021-11-10 00:00:15,10
817981,2021-11-10 00:00:15,0
688450,2021-11-10 00:00:15,99
690231,2021-11-10 00:00:15,191
1581248,2021-11-10 00:00:15,21
744920,2021-11-10 00:00:15,105
1441362,2021-11-10 00:00:15,134
972221,2021-11-10 00:00:15,54
816771,2021-11-10 00:00:15,3
816782,2021-11-10 00:00:15,21
1585128,2021-11-10 00:00:15,14
1434455,2021-11-10 00:00:15,48
173885,2021-11-10 00:00:15,80
173754,2021-11-10 00:00:15,0
173776,2021-11-10 00:00:15,6
173582,2021-11-10 00:00:15,56
173521,2021-11-10 00:00:15,62
949857,2021-11-10 00:00:15,67
1587127,2021-11-10 00:00:15,106
173874,2021-11-10 00:00:16,147
1580112,2021-11-10 00:00:16,77
1247675,2021-11-10 00:00:16,93
1113282,2021-11-10 00:00:16,71
173686,2021-11-10 00:00:16,152
173740,2021-11-10 00:00:16,145
1370100,2021-11-10 00:00:16,46
764573,2021-11-10 00:00:16,22
1029107,2021-11-10 00:00:16,617
1021034,2021-11-10 00:00:16,52
662512,2021-11-10 00:00:16,70
1051101,2021-11-10 00:00:16,568
1113401,2021-11-10 00:00:16,167
1569183,2021-11-10 00:00:16,1
1495580,2021-11-10 00:00:16,0
1495596,2021-11-10 00:00:16,4
1495954,2021-11-10 00:00:16,0
1495594,2021-11-10 00:00:16,16
1495566,2021-11-10 00:00:16,64
1495386,2021-11-10 00:00:16,0
1495622,2021-11-10 00:00:16,1
1495680,2021-11-10 00:00:16,1
1495568,2021-11-10 00:00:16,0
1570185,2021-11-10 00:00:16,0
173698,2021-11-10 00:00:16,73
1565220,2021-11-10 00:00:16,0
1495562,2021-11-10 00:00:16,164
1568804,2021-11-10 00:00:16,0
1566024,2021-11-10 00:00:16,1
989647,2021-11-10 00:00:16,12
1448316,2021-11-10 00:00:16,35
173573,2021-11-10 00:00:16,22
1576989,2021-11-10 00:00:16,10
1434470,2021-11-10 00:00:16,319
1910369,2021-11-10 00:00:16,60
744822,2021-11-10 00:00:16,630
1273241,2021-11-10 00:00:16,73
798382,2021-11-10 00:00:16,85
1823658,2021-11-10 00:00:16,147
1406239,2021-11-10 00:00:16,67
1473758,2021-11-10 00:00:16,0
1473187,2021-11-10 00:00:16,0
1567373,2021-11-10 00:00:16,2
1473526,2021-11-10 00:00:16,0
1441378,2021-11-10 00:00:16,0
1589043,2021-11-10 00:00:16,0
1441348,2021-11-10 00:00:16,0
832678,2021-11-10 00:00:16,27
173701,2021-11-10 00:00:16,77
1380218,2021-11-10 00:00:16,159
668831,2021-11-10 00:00:16,488
866663,2021-11-10 00:00:16,14
1568792,2021-11-10 00:00:16,0
1495593,2021-11-10 00:00:16,30
1496178,2021-11-10 00:00:16,0
1570038,2021-11-10 00:00:16,0
173880,2021-11-10 00:00:16,1
1911874,2021-11-10 00:00:16,0
1566973,2021-11-10 00:00:16,0
1871569,2021-11-10 00:00:16,38
1568617,2021-11-10 00:00:16,9
1568192,2021-11-10 00:00:16,0
1473903,2021-11-10 00:00:16,0
1570437,2021-11-10 00:00:16,0
1473900,2021-11-10 00:00:16,0
173750,2021-11-10 00:00:17,17
1030828,2021-11-10 00:00:17,58
173591,2021-11-10 00:00:17,130
690243,2021-11-10 00:00:17,177
1577279,2021-11-10 00:00:17,12
173488,2021-11-10 00:00:17,48
1473884,2021-11-10 00:00:17,0
1140911,2021-11-10 00:00:17,7
1892054,2021-11-10 00:00:17,10
1236949,2021-11-10 00:00:17,18
1237608,2021-11-10 00:00:17,4
172530,2021-11-10 00:00:18,44
173874,2021-11-10 00:00:18,147
1247675,2021-11-10 00:00:18,93
1583920,2021-11-10 00:00:18,31
173686,2021-11-10 00:00:18,152
173528,2021-11-10 00:00:18,38
173740,2021-11-10 00:00:18,145
1370100,2021-11-10 00:00:18,46
173750,2021-11-10 00:00:18,159
173591,2021-11-10 00:00:18,130
1237608,2021-11-10 00:00:18,4
1237617,2021-11-10 00:00:18,12
1431647,2021-11-10 00:00:18,3
1431448,2021-11-10 00:00:18,133
1510970,2021-11-10 00:00:18,11
1511638,2021-11-10 00:00:18,9
171953,2021-11-10 00:00:18,8
1579983,2021-11-10 00:00:19,0
173472,2021-11-10 00:00:19,78
1441353,2021-11-10 00:00:19,29
700179,2021-11-10 00:00:19,37
