"동별(1)",동별(2),동별(3),2020,2020,2020
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",소계,소계,9911088,605.23,16376
"합계",종로구,소계,158996,23.91,6649
"합계",종로구,사직동,9806,1.23,7972
"합계",종로구,삼청동,2909,1.49,1952
"합계",종로구,부암동,10333,2.27,4552
"합계",종로구,평창동,18582,8.87,2095
"합계",종로구,무악동,8592,0.36,23867
"합계",종로구,교남동,10634,0.35,30383
"합계",종로구,가회동,4418,0.54,8181
"합계",종로구,종로1.2.3.4가동,8448,2.35,3595
"합계",종로구,종로5.6가동,5656,0.60,9427
"합계",종로구,이화동,8111,0.78,10399
"합계",종로구,창신1동,5964,0.31,19239
"합계",종로구,창신2동,9503,0.26,36550
"합계",종로구,창신3동,7107,0.23,30900
"합계",종로구,숭인1동,6388,0.23,27774
"합계",종로구,숭인2동,10178,0.35,29080
"합계",종로구,청운효자동,12633,2.57,4916
"합계",종로구,혜화동,19734,1.12,17620
"합계",중구,소계,134635,9.96,13517
"합계",중구,소공동,3011,0.95,3169
"합계",중구,회현동,5757,0.84,6854
"합계",중구,명동,3685,0.99,3722
"합계",중구,필동,4754,1.14,4170
"합계",중구,장충동,5468,1.36,4021
"합계",중구,광희동,6416,0.74,8670
"합계",중구,을지로동,1967,0.60,3278
"합계",중구,신당5동,10867,0.39,27864
"합계",중구,황학동,13531,0.33,41003
"합계",중구,중림동,12801,0.48,26669
"합계",중구,신당동,9191,0.55,16711
"합계",중구,다산동,14725,0.51,28873
"합계",중구,약수동,17354,0.48,36154
"합계",중구,청구동,14281,0.34,42003
"합계",중구,동화동,10827,0.26,41642
"합계",용산구,소계,244645,21.87,11188
"합계",용산구,후암동,18202,0.86,21165
"합계",용산구,용산2가동,11272,1.96,5751
"합계",용산구,남영동,8116,1.19,6820
"합계",용산구,원효로2동,14331,0.71,20185
"합계",용산구,효창동,10326,0.44,23468
"합계",용산구,용문동,12455,0.28,44482
"합계",용산구,이촌1동,28961,2.86,10126
"합계",용산구,이촌2동,8808,1.22,7220
"합계",용산구,이태원1동,8764,0.57,15375
"합계",용산구,이태원2동,10795,0.86,12552
"합계",용산구,서빙고동,14000,2.80,5000
"합계",용산구,보광동,15531,0.71,21875
"합계",용산구,청파동,20496,0.91,22523
"합계",용산구,원효로1동,16730,0.59,28356
"합계",용산구,한강로동,22097,2.90,7620
"합계",용산구,한남동,23761,3.01,7894
"합계",성동구,소계,300505,16.86,17822
"합계",성동구,왕십리2동,17416,0.41,42478
"합계",성동구,마장동,23459,1.05,22342
"합계",성동구,사근동,13512,1.10,12284
"합계",성동구,행당1동,14363,0.59,24344
"합계",성동구,행당2동,24151,0.42,57502
"합계",성동구,응봉동,15824,0.57,27761
"합계",성동구,금호1가동,15795,0.46,34337
"합계",성동구,금호4가동,14842,0.84,17669
"합계",성동구,성수1가1동,16851,1.97,8554
"합계",성동구,성수1가2동,13738,0.89,15436
"합계",성동구,성수2가1동,17146,1.17,14655
"합계",성동구,성수2가3동,11457,1.03,11123
"합계",성동구,송정동,11143,0.75,14857
"합계",성동구,용답동,12724,2.31,5508
"합계",성동구,왕십리도선동,27588,0.72,38317
"합계",성동구,금호2.3가동,23584,0.64,36850
"합계",성동구,옥수동,26912,1.94,13872
"합계",광진구,소계,360109,17.06,21105
"합계",광진구,화양동,25541,1.16,22018
"합계",광진구,군자동,21903,0.74,29599
"합계",광진구,중곡1동,16190,0.62,26113
"합계",광진구,중곡2동,22285,0.55,40518
"합계",광진구,중곡3동,16902,0.60,28170
"합계",광진구,중곡4동,29815,2.32,12851
"합계",광진구,능동,11913,1.10,10830
"합계",광진구,구의1동,22700,0.56,40536
"합계",광진구,구의2동,27444,1.39,19744
"합계",광진구,구의3동,29588,1.02,29008
"합계",광진구,광장동,35619,2.39,14903
"합계",광진구,자양1동,23710,0.57,41596
"합계",광진구,자양2동,26016,1.68,15486
"합계",광진구,자양3동,28957,1.20,24131
"합계",광진구,자양4동,21526,1.16,18557
"합계",동대문구,소계,357014,14.22,25114
"합계",동대문구,회기동,12663,0.76,16662
"합계",동대문구,휘경1동,15362,0.63,24384
"합계",동대문구,휘경2동,24992,1.05,23802
"합계",동대문구,청량리동,20432,1.20,17027
"합계",동대문구,용신동,32602,1.61,20250
"합계",동대문구,제기동,27017,1.18,22896
"합계",동대문구,전농1동,30722,1.19,25817
"합계",동대문구,전농2동,19449,0.86,22615
"합계",동대문구,답십리2동,29486,0.85,34689
"합계",동대문구,장안1동,39287,1.25,31430
"합계",동대문구,장안2동,33339,1.09,30586
"합계",동대문구,이문1동,21205,1.04,20389
"합계",동대문구,이문2동,20947,0.69,30358
"합계",동대문구,답십리1동,29511,0.81,36433
"합계",중랑구,소계,399562,18.50,21603
"합계",중랑구,면목2동,25214,0.77,32745
"합계",중랑구,면목4동,19270,0.87,22149
"합계",중랑구,면목5동,14661,0.70,20944
"합계",중랑구,면목7동,22714,1.20,18928
"합계",중랑구,상봉1동,24912,0.88,28309
"합계",중랑구,상봉2동,20214,0.65,31098
"합계",중랑구,중화1동,20400,0.64,31875
"합계",중랑구,중화2동,26073,1.01,25815
"합계",중랑구,묵1동,35588,1.20,29657
"합계",중랑구,묵2동,19672,0.67,29361
"합계",중랑구,망우3동,17508,0.92,19030
"합계",중랑구,신내1동,39831,2.56,15559
"합계",중랑구,신내2동,21302,0.93,22905
"합계",중랑구,면목본동,35424,0.84,42171
"합계",중랑구,면목3.8동,25995,1.63,15948
"합계",중랑구,망우본동,30784,3.03,10160
