구별,대중교통 총이용량
강남구,40046.90476190476
강동구,21299.14285714286
강북구,46589.66666666666
강서구,28185.222222222223
관악구,62545.25
광진구,34377.63636363637
구로구,35528.125
금천구,52207.0
노원구,25790.384615384617
도봉구,35366.0
동대문구,22703.666666666668
동작구,29707.75
마포구,26487.8125
서대문구,16519.4
서초구,35087.333333333336
성동구,22429.92857142857
성북구,20968.555555555555
송파구,22363.74074074074
양천구,27034.8
영등포구,28183.83333333333
용산구,17642.0
은평구,24136.846153846152
종로구,36423.142857142855
중구,25475.15
중랑구,19096.75
