역명,승차총승객수,하차총승객수
신림,35161,34614
봉천,10987,10738
서울대입구(관악구청),25339,26218
낙성대(강감찬),15029,15560
사당,19636,21920
방배,6184,6665
서초,9892,9122
교대(법원.검찰청),9749,10552
강남,32676,31380
역삼,10174,11009
선릉,12401,10788
삼성(무역센터),18363,17800
종합운동장,7762,8091
잠실새내,10302,10464
잠실(송파구청),44477,41398
잠실나루,4672,4751
강변(동서울터미널),18138,18001
구의(광진구청),10423,10461
건대입구,25729,25935
성수,13534,14937
뚝섬,10340,10416
한양대,2501,2759
왕십리(성동구청),8921,7961
상왕십리,6369,6403
신당,7449,7991
동대문역사문화공원(DDP),7415,8944
을지로4가,3370,3200
을지로3가,7474,6849
을지로입구,13789,12651
시청,5456,4473
동묘앞,12310,12584
청량리(서울시립대입구),12143,12201
제기동,9723,10379
신설동,7231,7317
동대문,8870,9324
종로5가,9296,8907
종로3가,13519,11911
종각,11635,10242
시청,6726,6707
서울역,23514,21481
방화,3185,3194
응암,8056,8307
석촌고분,2791,2801
석촌,4443,3945
송파나루,3141,3402
한성백제,1348,1138
올림픽공원(한국체대),3740,3812
둔촌오륜,439,479
중앙보훈병원,2990,2858
판교,2299,2138
이매,599,492
삼동,946,943
경기광주,3496,3407
초월,1387,1501
곤지암,1343,1509
신둔도예촌,865,954
이천,1979,2176
부발,1396,2049
세종대왕릉,255,267
여주,1940,2028
서울역,7068,1580
남영,3819,4220
용산,27087,24502
노량진,4966,4904
대방,5304,5619
영등포,28710,27618
신도림,2108,2019
신길,4201,3726
구로,8587,8739
가산디지털단지,4140,5739
금천구청,5542,5487
석수,4715,4622
관악,4480,4072
안양,12139,11546
명학,3079,3024
금정,12603,12870
군포,2803,2644
의왕,3886,3895
성균관대,7062,7718
화서,3619,3477
수원,30245,29203
독산,5507,5687
세류,1775,1667
병점,8642,9095
세마,1531,1418
오산대,1991,1877
오산,6957,7359
진위,814,806
송탄,3394,4011
서정리,4325,6088
평택지제,2348,2136
평택,10380,11194
성환,2272,2897
직산,497,568
두정,3992,5108
천안,5360,5639
당정,2712,2839
서동탄,712,722
광명,2316,1585
이촌(국립중앙박물관),2095,1532
서빙고,1232,1321
한남,1777,1733
옥수,35,20
응봉,1292,1435
왕십리(성동구청),8337,9403
청량리(서울시립대입구),12215,11394
외대앞,4475,4642
신이문,4186,3914
석계,4496,4857
광운대,4841,5203
월계,3537,3166
녹천,2495,2207
방학,5458,5241
도봉,3261,2958
도봉산,8865,6343
망월사,4151,4325
회룡,6721,6653
의정부,12963,13094
가능,3720,3421
녹양,2431,2342
양주,4757,4669
덕계,1633,1601
덕정,3052,3245
지행,3795,3849
동두천중앙,1958,1819
보산,1204,1200
동두천,1267,1717
소요산,3767,3248
서울역,921,879
신촌,232,228
효창공원앞,1175,1334
공덕,1563,1232
서강대,1179,1168
홍대입구,1421,1766
가좌,2551,2511
디지털미디어시티,1286,1160
수색,805,873
화전,856,962
강매,1395,1301
행신,4108,3852
능곡,2051,1996
곡산,318,347
백마,3111,2900
풍산,3222,2929
일산,4305,3972
탄현,3751,3515
야당,4241,4019
운정,3387,3135
금릉,2577,2520
금촌,3694,3794
월롱,872,1946
파주,623,586
문산,3080,3217
임진강,61,45
개봉,10221,10155
오류동,6275,5847
역곡,12825,12775
부천,19547,18848
송내,11517,11236
부평,20855,20752
백운,3546,3501
동암,8542,8242
주안,10600,9361
제물포,5102,4932
동인천,8524,8346
인천,3633,3060
구일,2897,2882
소사,4701,4421
부개,4157,3886
간석,2944,2774
도원,1445,1463
온수(성공회대입구),3305,3168
중동,4326,4015
도화,2160,2014
신내,976,977
갈매,1389,1268
별내,1799,1591
퇴계원,1841,1629
사릉,1305,1277
금곡,892,774
평내호평,3207,2984
천마산,1112,1055
마석,2307,2285
대성리,825,501
청평,1407,1177
상천,485,373
가평,1498,1267
굴봉산,215,190
백양리,96,91
강촌,660,533
김유정,484,522
남춘천,2598,3228
춘천,1421,1312
서울역,6642,6121
공덕,1031,1470
홍대입구,9158,8418
디지털미디어시티,3402,3363
마곡나루(서울식물원),2266,2563
김포공항,10458,5345
계양,4831,4528
검암,3266,3266
청라국제도시,3125,2898
운서,4707,4961
공항화물청사,956,1046
인천공항1터미널,3589,3475
인천공항2터미널,1908,1759
영종,2277,2169
선바위,3940,3755
경마공원,9743,9790
대공원,5680,5784
과천,3324,3123
정부과천청사,4259,4345
인덕원,10646,10734
평촌,6014,5718
범계,13525,13001
선릉,2710,3992
한티,7864,7451
도곡,2438,2414
구룡,722,853
개포동,1673,1734
대모산입구,1953,1912
수서,7726,7279
복정,1,0
수원,5534,4506
서울숲,6639,6831
압구정로데오,10986,11839
강남구청,3050,3669
선정릉,2000,1965
가천대,3646,4637
태평,7544,7151
모란,10444,10800
야탑,12347,12673
서현,13680,13687
수내,5558,5292
정자,6850,6989
미금,6640,7084
오리,4824,4213
이매,2899,2984
보정,975,918
죽전,6838,7795
구성,2117,2255
신갈,1768,1865
기흥,4592,4282
상갈,2543,2557
청명,1709,1833
영통,4492,4530
망포,5644,5804
매탄권선,2343,2227
수원시청,6902,6913
매교,1293,1341
고색,1966,2140
오목천,1410,1393
어천,530,614
야목,220,176
사리,2355,2017
달월,60,66
월곶,1604,1452
소래포구,4297,4090
인천논현,2712,2766
호구포,1819,1949
남동인더스파크,589,586
원인재,2672,2760
연수,2979,2952
인하대,3204,3099
고속터미널,10408,12785
사평,3132,3134
신논현,27769,27421
언주,9563,9837
선정릉,8796,9613
삼성중앙,6304,6724
봉은사,13756,14012
종합운동장,3664,3842
삼전,6322,6049
석촌고분,5536,5507
석촌,7749,6775
송파나루,4439,4649
한성백제,2281,2089
올림픽공원(한국체대),5334,5394
둔촌오륜,1150,1089
중앙보훈병원,10106,8876
판교,3828,3724
이매,1058,881
삼동,2184,2071
경기광주,7213,7006
초월,2950,2908
곤지암,2050,2053
신둔도예촌,1543,1412
이천,2435,2531
부발,1888,1990
세종대왕릉,315,299
여주,2249,2258
서울역,5498,1707
남영,8802,9393
용산,27441,28484
노량진,7209,7425
대방,12359,12614
영등포,32261,32930
신도림,3789,3753
신길,8596,7229
구로,17294,17422
가산디지털단지,17597,20015
금천구청,11412,11329
석수,9312,8243
관악,6811,6294
안양,23200,22850
명학,9940,9874
금정,25321,25892
군포,7466,7564
의왕,8743,8880
성균관대,14275,14461
화서,7808,7462
수원,32470,34383
독산,17706,18444
세류,2886,2602
병점,14513,14647
세마,2758,2540
오산대,3753,3531
오산,9924,9997
진위,1684,1439
송탄,4211,4025
서정리,7172,6797
평택지제,3430,3254
평택,11843,12059
성환,5105,5328
직산,763,752
두정,6784,8066
천안,6356,5998
당정,6314,5995
서동탄,1303,1102
광명,3083,2610
이촌(국립중앙박물관),3429,2679
서빙고,1779,1608
한남,3802,3633
옥수,44,35
응봉,1893,1781
왕십리(성동구청),13441,14182
청량리(서울시립대입구),13360,14185
외대앞,8006,8192
신이문,7994,7310
석계,7792,8676
광운대,8734,8781
월계,7257,6666
녹천,4542,3788
방학,9277,9145
도봉,5600,5329
도봉산,7337,4888
망월사,7224,7409
회룡,11817,11682
의정부,16989,17394
가능,6460,6422
녹양,4380,4158
양주,7608,7172
덕계,3120,2850
덕정,6263,6077
지행,6312,6265
동두천중앙,2982,2875
보산,1394,1225
동두천,2649,2902
소요산,2556,2112
서울역,4074,5265
신촌,827,1085
효창공원앞,2960,3164
공덕,3212,2814
서강대,2021,1975
홍대입구,1454,1584
가좌,5160,4845
디지털미디어시티,2343,2125
수색,2723,2820
화전,3515,3380
강매,3129,2678
행신,7350,7730
능곡,3726,3482
곡산,615,651
백마,6734,6501
풍산,5368,4905
일산,10176,9989
탄현,7310,6915
야당,7064,6914
운정,6896,6424
금릉,4610,4440
금촌,6026,5983
월롱,2726,2733
파주,1622,1161
문산,4765,4672
임진강,7,4
개봉,20095,19756
오류동,11310,10649
역곡,26289,26052
부천,29931,29890
송내,25325,25130
부평,26214,27843
백운,6605,6488
동암,13329,13290
주안,18287,16800
제물포,10277,9929
동인천,12906,12102
인천,3131,2403
구일,5791,5746
소사,8351,7984
부개,8199,7603
간석,5561,5285
도원,2977,2976
온수(성공회대입구),6353,6111
중동,9004,8526
도화,4065,3709
신내,2243,2033
갈매,2853,2446
별내,3119,2957
퇴계원,3394,3107
사릉,2579,2491
금곡,1572,1459
평내호평,6168,5949
천마산,1657,1584
마석,4240,4160
대성리,472,401
청평,1567,1497
상천,285,273
가평,1431,1347
굴봉산,120,113
백양리,67,66
강촌,369,364
김유정,267,278
남춘천,2294,2540
춘천,1304,1412
서울역,6639,6242
공덕,2037,2649
홍대입구,7943,7718
디지털미디어시티,12843,11835
마곡나루(서울식물원),8297,8093
김포공항,10358,6192
계양,9656,9196
검암,6163,6065
청라국제도시,6426,5948
운서,6299,6306
공항화물청사,2222,2341
인천공항1터미널,3337,3493
인천공항2터미널,2542,2403
영종,2879,2832
선바위,7677,6742
경마공원,841,817
대공원,2367,2440
과천,5640,5328
정부과천청사,9601,9568
인덕원,22110,23073
평촌,16675,16303
범계,23561,23539
선릉,12312,18551
한티,12920,13958
도곡,6447,6528
구룡,2276,2192
개포동,3706,3861
대모산입구,4237,3945
수서,12454,12476
복정,1,0
수원,7752,6410
서울숲,9461,9510
압구정로데오,15754,16928
강남구청,9025,10292
선정릉,7544,8001
가천대,9221,10228
태평,12501,12208
모란,18730,19050
야탑,23976,24813
서현,21869,21995
수내,12061,11814
정자,15423,16262
미금,14441,15227
오리,10750,8822
이매,5318,4925
보정,2399,2094
죽전,12733,14045
구성,4620,4863
신갈,4174,4208
기흥,9222,8554
상갈,4878,4825
청명,4005,3929
영통,7617,7903
망포,13545,13051
매탄권선,4833,4661
수원시청,11850,12370
매교,3139,3011
고색,4847,4756
오목천,3355,3100
어천,704,740
야목,369,258
사리,4640,4110
달월,105,69
월곶,2588,2459
소래포구,4900,4456
인천논현,5303,5669
호구포,3944,4133
남동인더스파크,2217,2530
원인재,4269,4468
연수,4320,4370
송도,2401,2241
인하대,6911,6649
숭의,3979,3631
신포,1827,1758
인천,968,1531
산본,14704,15782
대야미,4798,4485
반월,4210,4073
상록수,15541,15713
한대앞,9818,9975
중앙,16930,17495
고잔,8556,7975
초지,4934,5297
안산,10961,10042
신길온천,1696,1542
정왕,9773,10358
오이도,8009,7650
수리산,4199,3411
북한산우이,2466,2215
솔밭공원,2263,2194
4.19민주묘지,3478,3445
가오리,3975,3960
화계,3284,2977
삼양,2062,2127
삼양사거리,2385,2373
솔샘,5528,5204
북한산보국문,5592,5405
정릉,4577,4164
성신여대입구(돈암),3207,3412
보문,1447,1452
신설동,2050,2005
원흥,9803,9420
삼송,18211,17743
원당,10581,10140
화정,15676,16012
대곡,2001,1631
백석,9083,9036
마두,7103,7130
정발산,6454,6359
주엽,8367,8387
대화,11838,9576
봉명,1202,1184
쌍용(나사렛대),2714,2757
아산,3853,3220
탕정,754,669
배방,1144,1142
온양온천,3499,3598
신창(순천향대),2707,3209
회기,22854,22525
중랑,5346,4966
상봉(시외버스터미널),5397,5340
망우,7300,7114
양원,2752,2694
구리,12572,12782
도농,9952,9107
양정,790,654
덕소,5236,5289
도심,2320,1825
팔당,825,860
운길산,859,786
양수,1762,1781
신원,238,204
국수,779,740
아신,538,535
오빈,290,281
양평,3704,3798
원덕,385,358
용문,1674,1536
지평,70,84
구산,7278,5385
서울역,37708,36335
시청,19669,19809
종각,30214,29494
종로3가,22353,20317
종로5가,20827,20945
동대문,10196,9446
신설동,12869,12569
제기동,16524,17031
청량리(서울시립대입구),18720,18497
동묘앞,7126,7541
시청,20835,20119
을지로입구,33873,35050
을지로3가,19762,19824
을지로4가,11954,11846
동대문역사문화공원(DDP),10870,12036
신당,12495,12943
상왕십리,13020,12697
왕십리(성동구청),15524,12134
한양대,14455,16232
뚝섬,19841,21507
성수,33634,36431
건대입구,31592,33442
구의(광진구청),21529,21523
강변(동서울터미널),26401,25312
잠실나루,13152,11582
잠실(송파구청),57078,56431
잠실새내,18918,18645
종합운동장,6515,7187
삼성(무역센터),42318,42820
선릉,51426,46077
역삼,47332,53104
강남,73404,72103
교대(법원.검찰청),30852,34510
서초,19239,18800
방배,17694,18454
사당,31941,35350
낙성대(강감찬),24667,24608
서울대입구(관악구청),43970,43661
봉천,22096,20502
신림,58089,56425
신대방,24322,23968
구로디지털단지,54682,54346
대림(구로구청),22295,22795
신도림,41779,41537
문래,20546,20958
영등포구청,21072,21710
당산,17418,19955
합정,26558,27232
홍대입구,44086,45537
신촌,29424,29413
이대,12796,13791
아현,9568,9183
충정로(경기대입구),9116,9684
용답,3278,3713
신답,1621,1801
신설동,3155,3209
도림천,1313,1376
양천구청,6364,6552
신정네거리,9473,9762
용두(동대문구청),2280,2376
지축,4636,4334
구파발,18986,18156
연신내,34187,32444
불광,14790,15979
녹번,14634,13431
홍제,16448,15859
무악재,3586,3669
독립문,6303,6755
경복궁(정부서울청사),19024,18449
안국,18051,18274
종로3가,9250,10178
을지로3가,9423,9469
충무로,4,0
동대입구,8239,8803
약수,11832,11669
금호,7199,6956
옥수,7898,8280
압구정,28017,29534
신사,27244,28096
잠원,4368,4238
고속터미널,33291,31945
교대(법원.검찰청),12878,8436
남부터미널(예술의전당),25195,25771
양재(서초구청),34465,37584
매봉,11113,10509
도곡,4908,5058
대치,10074,10161
학여울,1576,1607
대청,9620,8816
일원,9681,9466
수서,15341,15733
가락시장,8377,8165
경찰병원,6807,6870
오금,5855,5216
당고개,8536,7748
상계,18057,16753
노원,16764,18784
창동,23305,24637
쌍문,26907,25214
수유(강북구청),31172,31542
미아(서울사이버대학),14396,14108
미아사거리,24789,24484
길음,19129,19297
성신여대입구(돈암),19104,18547
한성대입구(삼선교),12856,12414
혜화,27614,27398
동대문,18126,18718
동대문역사문화공원(DDP),12815,12021
충무로,26693,27107
명동,17218,17266
회현(남대문시장),19782,21023
서울역,9729,13367
숙대입구(갈월),12724,12364
삼각지,4323,4752
신용산,13971,14583
이촌(국립중앙박물관),6085,6806
동작(현충원),1406,1647
총신대입구(이수),17148,18632
사당,21952,18435
남태령,1047,923
방화,6169,5980
개화산,5312,5029
김포공항,6152,6012
송정,6119,5774
마곡,10174,10097
발산,18764,18825
우장산,13746,13394
화곡,26605,25260
까치산,26962,25895
신정(은행정),13079,10833
목동,15467,16845
오목교(목동운동장앞),19199,20426
양평,7126,7070
영등포구청,3868,3893
영등포시장,9098,9221
신길,3662,4105
여의도,25696,26921
여의나루,10518,11324
마포,13364,13513
공덕,12774,13465
애오개,6186,6353
충정로(경기대입구),4485,4568
서대문,17861,18046
광화문(세종문화회관),25672,26582
종로3가,10404,10582
을지로4가,5787,5776
동대문역사문화공원(DDP),2688,3052
청구,3793,3403
신금호,6075,6435
행당,7407,6645
왕십리(성동구청),4176,4640
마장,5432,5022
답십리,14995,13862
장한평,17025,16845
군자(능동),10271,11295
아차산(어린이대공원후문),13785,13213
광나루(장신대),12489,11392
천호(풍납토성),15986,15912
강동,17269,16763
길동,7481,7763
굽은다리(강동구민회관앞),8721,8228
명일,8075,8336
고덕,8921,8938
상일동,13993,13088
둔촌동,7939,7891
올림픽공원(한국체대),4057,3688
방이,6525,6776
오금,3588,3604
개롱,6059,6285
거여,9447,9177
마천,6806,6535
강일,3855,3666
미사,14574,14698
하남풍산,4063,4051
하남시청(덕풍·신장),6173,6085
하남검단산,5224,4971
응암,16275,16304
역촌,3481,4045
불광,3781,3790
독바위,2520,2683
연신내,2,0
새절(신사),11724,10997
증산(명지대앞),9409,9333
디지털미디어시티,12699,14132
월드컵경기장(성산),4033,4181
마포구청,13023,11700
망원,12301,13003
합정,11097,11011
상수,7453,8018
광흥창(서강),8290,8094
대흥(서강대앞),7728,8119
공덕,16791,16036
효창공원앞,6637,6370
삼각지,5535,4881
녹사평(용산구청),4030,3942
이태원,8196,8309
한강진,5831,6836
버티고개,1938,1943
약수,3347,3391
청구,3448,3737
신당,7224,7820
동묘앞,7280,7451
창신,3370,2947
보문,6855,6313
안암(고대병원앞),12940,13288
고려대(종암),7881,7776
월곡(동덕여대),11978,11757
상월곡(한국과학기술연구원),6000,5636
돌곶이,8821,8267
석계,11720,12502
태릉입구,5186,5677
화랑대(서울여대입구),11291,8975
봉화산(서울의료원),8205,7797
장암,2131,766
도봉산,8820,10086
수락산,11672,11396
마들,12105,11430
노원,17747,18564
중계,13954,12834
하계,16276,15367
공릉(서울과학기술대),11887,11810
태릉입구,7932,7752
먹골,9289,9094
중화,10265,10063
상봉(시외버스터미널),15554,14497
면목,15202,14819
사가정,15045,15122
용마산(용마폭포공원),5772,5565
중곡,10234,9464
군자(능동),13781,11087
어린이대공원(세종대),13449,14048
건대입구,11441,12152
뚝섬유원지,8354,8077
청담,18006,19955
강남구청,14341,15814
학동,22614,23944
논현,18901,20296
반포,5300,5205
고속터미널,14085,11651
내방,13406,13844
이수,14209,13788
남성,10417,9871
숭실대입구(살피재),13633,14178
상도,10470,10388
장승배기,8397,8312
신대방삼거리,15723,15082
보라매,9362,9450
신풍,10739,10331
대림(구로구청),7307,7325
남구로,15139,15917
가산디지털단지,42471,43001
철산,19068,19508
광명사거리,20733,20258
천왕,10697,10223
온수(성공회대입구),9919,9080
암사,17543,15577
천호(풍납토성),13293,15144
강동구청,9761,10084
몽촌토성(평화의문),5529,5655
잠실(송파구청),11731,13576
석촌,6932,8047
송파,7010,7066
가락시장,7126,7825
문정,20694,21873
장지,15150,14989
복정,8957,7624
산성,4969,5051
남한산성입구(성남법원.검찰청),14461,13648
단대오거리,10600,10134
신흥,3823,4049
수진,5031,4633
모란,4198,3261
남위례,4265,4540
개화,2304,1624
김포공항,6233,8890
공항시장,2926,3173
신방화,6638,6380
마곡나루(서울식물원),11206,11138
양천향교,9415,9531
가양,19258,18623
증미,6840,6739
등촌,10555,10333
염창,15908,15507
신목동,3846,3425
선유도,8128,7837
당산,16514,16480
국회의사당,13740,14325
여의도,24383,23714
샛강,5295,5556
노량진,23660,23048
노들,4100,3471
흑석(중앙대입구),8483,8776
동작(현충원),1803,1492
구반포,1202,1189
신반포,3245,3110
신논현,28754,28386
언주,9628,9965
선정릉,9094,9946
삼성중앙,6290,6764
봉은사,14073,14448
종합운동장,3685,3835
삼전,6500,6233
석촌고분,5630,5632
석촌,7878,7055
송파나루,4684,4932
한성백제,2296,2090
올림픽공원(한국체대),5598,5613
둔촌오륜,1157,1063
중앙보훈병원,10235,9091
판교,4341,4257
이매,1070,928
삼동,2307,2167
경기광주,7394,7025
초월,3005,2893
곤지암,2034,2046
신둔도예촌,1528,1402
이천,2475,2515
부발,2023,1995
세종대왕릉,308,324
여주,2283,2250
서울역,4688,1497
남영,9177,9589
용산,27079,27184
노량진,7487,7661
대방,12523,12802
영등포,32843,33411
신도림,3830,3873
신길,8677,7351
구로,17412,17741
가산디지털단지,17472,20134
금천구청,11363,11316
석수,9509,8489
관악,6951,6476
안양,23609,23168
명학,10727,10589
금정,25785,26152
군포,7673,7675
의왕,9082,8972
성균관대,14624,14423
화서,7955,7700
수원,32238,34627
독산,17957,18517
세류,2961,2726
병점,14639,14652
세마,2687,2630
오산대,3959,3608
오산,9544,9504
진위,1715,1455
송탄,4159,4005
서정리,7009,6647
평택지제,3247,3124
평택,11634,11779
성환,4752,4783
직산,782,795
두정,7246,7871
천안,6481,6104
당정,6361,5967
서동탄,1305,1142
광명,2914,2543
이촌(국립중앙박물관),3424,2704
서빙고,1890,1747
한남,3846,3585
옥수,43,32
응봉,2124,2081
왕십리(성동구청),13314,14093
청량리(서울시립대입구),13023,13979
외대앞,7974,8122
신이문,7972,7429
석계,7927,8742
광운대,8697,8526
월계,7771,7272
녹천,4644,3864
방학,9429,9240
도봉,5790,5509
도봉산,7822,5352
망월사,7297,7511
회룡,12098,12034
의정부,16913,17330
가능,6622,6299
녹양,4455,4214
양주,7688,7311
덕계,3133,2826
덕정,6304,6139
지행,6246,6212
동두천중앙,3043,2902
보산,1454,1330
동두천,2750,3015
소요산,2752,2392
서울역,4020,5030
신촌,852,1044
효창공원앞,2975,3207
공덕,3140,2839
서강대,2083,2048
홍대입구,1598,1677
가좌,5195,5128
디지털미디어시티,2348,2289
수색,2788,2858
화전,3684,3361
강매,3171,2848
행신,7367,7657
능곡,3701,3512
곡산,572,584
백마,6659,6571
풍산,5277,4917
일산,8886,8825
탄현,7239,7099
야당,7023,7039
운정,6520,6346
금릉,4455,4359
금촌,5983,5905
월롱,2791,2659
파주,1547,1079
문산,5105,5062
임진강,20,8
검암,1,0
개봉,20207,19830
오류동,11260,10478
역곡,26677,26432
부천,30068,30068
송내,25788,25861
부평,26167,27907
백운,6698,6525
동암,13763,13883
주안,18369,16811
제물포,10433,9961
동인천,12822,12208
인천,3471,2641
구일,5932,5922
소사,8626,8308
부개,8114,7550
간석,5578,5238
도원,2993,2966
온수(성공회대입구),6600,6240
중동,9066,8521
도화,4002,3716
신내,2130,2085
갈매,2911,2595
별내,3112,2974
퇴계원,3343,3080
사릉,2503,2412
금곡,1504,1473
평내호평,6248,6051
천마산,1717,1603
마석,3806,3770
대성리,440,416
청평,1452,1450
상천,293,248
가평,1452,1372
굴봉산,130,123
백양리,75,62
강촌,448,430
김유정,339,348
남춘천,2233,2194
춘천,1389,1353
서울역,6578,5951
공덕,2051,2736
홍대입구,8129,8221
디지털미디어시티,13253,12247
마곡나루(서울식물원),8517,8301
김포공항,10240,5527
계양,9841,9517
검암,6071,6080
청라국제도시,6449,6141
운서,6317,6421
공항화물청사,2310,2463
인천공항1터미널,3616,4000
인천공항2터미널,2202,2150
영종,2868,2833
선바위,7801,7035
경마공원,1450,1427
대공원,2877,3009
과천,5954,5533
정부과천청사,10024,9987
인덕원,22771,23508
평촌,16979,16681
범계,24419,24418
선릉,12469,18905
한티,13327,14214
도곡,6541,6490
구룡,2236,2152
개포동,3728,3842
대모산입구,4360,4121
수서,12469,12737
수원,7781,6370
서울숲,10191,10395
압구정로데오,17573,19026
강남구청,9516,10958
선정릉,7634,8083
가천대,9547,10593
태평,13065,12703
모란,26174,27372
야탑,24446,25254
서현,22170,22472
수내,12185,12285
정자,16165,17016
미금,14906,15850
오리,11272,9212
이매,5555,5162
보정,2414,2157
죽전,13629,14909
구성,4872,5083
신갈,4290,4298
기흥,9478,8946
상갈,5158,5024
청명,4069,4044
영통,7821,7956
망포,13481,12783
매탄권선,4861,4679
수원시청,11842,12522
매교,3100,3084
고색,4999,4659
오목천,3439,3167
어천,681,750
야목,379,297
사리,4681,4272
달월,112,66
월곶,2665,2488
소래포구,5233,4955
인천논현,5360,5784
호구포,3990,4106
남동인더스파크,2237,2505
원인재,4259,4487
연수,4509,4521
송도,2447,2315
인하대,7243,6881
숭의,3912,3709
신포,1797,1789
인천,1040,1644
산본,15035,16254
대야미,5083,4614
반월,4206,4090
상록수,15801,16128
한대앞,10248,10339
중앙,17038,17687
고잔,8569,8152
초지,4871,5242
안산,11017,9800
신길온천,1671,1571
정왕,10047,10254
오이도,8161,8049
수리산,4070,3390
북한산우이,2684,2428
솔밭공원,2421,2268
4.19민주묘지,3287,3089
가오리,3979,3960
화계,3217,3013
삼양,1911,1995
삼양사거리,2352,2322
솔샘,5549,5260
북한산보국문,5685,5430
정릉,4502,4053
성신여대입구(돈암),3158,3483
보문,1383,1428
신설동,2149,2051
원흥,10153,9725
삼송,18431,17952
원당,10723,10203
화정,15774,16290
대곡,2103,1730
백석,9322,9245
마두,7047,7082
정발산,6197,6260
주엽,8284,8328
대화,11941,9556
봉명,1360,1323
쌍용(나사렛대),2943,2765
아산,3479,2966
탕정,803,728
배방,1087,1085
온양온천,4513,4630
신창(순천향대),2772,2753
회기,23473,22898
중랑,5294,5075
상봉(시외버스터미널),5385,5305
망우,7228,7134
양원,2888,2743
구리,12555,12804
도농,10052,9086
양정,752,643
덕소,5270,5372
도심,2386,1907
팔당,858,911
운길산,897,860
양수,1854,1807
신원,264,224
국수,711,685
아신,511,493
오빈,336,358
양평,2567,2621
원덕,384,346
용문,1734,1670
지평,80,77
마들,12216,11535
잠원,4452,4517
서울역,36740,35596
시청,20580,20818
종각,30237,29737
종로3가,22602,20418
종로5가,21686,21424
동대문,10204,9481
신설동,12849,12484
제기동,17062,17547
청량리(서울시립대입구),19113,18996
동묘앞,7921,8189
시청,21690,21138
을지로입구,33904,35094
을지로3가,20381,20364
을지로4가,12145,12145
동대문역사문화공원(DDP),11209,12497
신당,12920,13237
상왕십리,13054,12794
왕십리(성동구청),15933,12409
한양대,14851,16686
뚝섬,20557,22058
성수,34602,37656
건대입구,32208,34191
구의(광진구청),22182,21970
강변(동서울터미널),26248,24770
잠실나루,13725,13553
잠실(송파구청),58832,57966
잠실새내,19265,19215
종합운동장,6781,7500
삼성(무역센터),44744,45173
선릉,52522,46651
역삼,48092,53992
강남,74681,73497
교대(법원.검찰청),31653,35709
서초,19837,19226
방배,18513,19212
사당,33541,36612
낙성대(강감찬),25365,25075
서울대입구(관악구청),45422,44587
봉천,22367,20980
신림,58758,56951
신대방,24887,24356
구로디지털단지,55195,55368
대림(구로구청),22438,22992
신도림,42020,42053
문래,20851,21271
영등포구청,21336,21791
당산,17827,20553
합정,27585,29129
홍대입구,45877,46805
신촌,29600,30115
이대,12799,13758
아현,9860,9579
충정로(경기대입구),9276,9949
용답,3240,3590
신답,1575,1807
신설동,2845,2941
도림천,1354,1439
양천구청,6418,6545
신정네거리,9534,10016
용두(동대문구청),2339,2395
지축,4640,4444
구파발,19379,18560
연신내,34531,32538
불광,15167,16280
녹번,14882,13501
홍제,16499,15844
무악재,3600,3692
독립문,6560,6870
경복궁(정부서울청사),19796,19211
안국,18795,19853
종로3가,9297,10369
을지로3가,9581,9808
충무로,3,0
동대입구,8238,9036
약수,12223,11975
금호,7386,6946
옥수,8202,8587
압구정,28958,30822
신사,28157,29250
고속터미널,32684,31025
교대(법원.검찰청),13442,8625
남부터미널(예술의전당),25575,26029
양재(서초구청),35208,38492
매봉,11311,10830
도곡,4949,5012
대치,10155,10074
학여울,1662,1670
대청,9577,8801
일원,9860,9543
수서,15168,15438
가락시장,8410,8209
경찰병원,6786,6865
오금,5792,5285
당고개,8808,7967
상계,18538,17179
노원,17227,19528
창동,23772,25307
쌍문,27407,25645
수유(강북구청),31593,31678
미아(서울사이버대학),14521,14338
미아사거리,25397,24824
길음,19577,19530
성신여대입구(돈암),19466,18521
한성대입구(삼선교),13408,13036
혜화,29704,29530
동대문,18718,18987
동대문역사문화공원(DDP),13384,12378
충무로,26932,27567
명동,17618,17961
회현(남대문시장),23059,24194
서울역,10004,13486
숙대입구(갈월),13518,13220
삼각지,4383,4905
신용산,14317,14859
이촌(국립중앙박물관),6431,7210
동작(현충원),1550,1703
총신대입구(이수),17601,18854
사당,22941,19012
남태령,1111,965
방화,6273,6034
개화산,5354,5155
김포공항,5989,5638
송정,6149,5843
마곡,10066,10052
발산,19034,19339
우장산,13827,13623
화곡,26798,25196
까치산,27169,26074
신정(은행정),13181,10713
목동,15764,16956
오목교(목동운동장앞),19748,21161
양평,7192,7127
영등포구청,3822,3962
영등포시장,9326,9468
신길,3896,4156
여의도,26254,27871
여의나루,11073,12050
마포,13351,13737
공덕,13093,13800
애오개,6606,6571
충정로(경기대입구),4544,4637
서대문,18594,18615
광화문(세종문화회관),27393,28806
종로3가,10835,10854
을지로4가,5813,5895
동대문역사문화공원(DDP),2673,3077
청구,3890,3459
신금호,6285,6475
행당,7608,6821
왕십리(성동구청),4180,4778
마장,5496,5164
답십리,15017,13854
장한평,17225,17190
군자(능동),10568,11527
아차산(어린이대공원후문),14339,13967
광나루(장신대),12694,11681
천호(풍납토성),16140,16223
강동,17444,16790
길동,7427,7717
굽은다리(강동구민회관앞),8744,8286
명일,8122,8429
고덕,8958,8986
상일동,13966,13185
둔촌동,7966,8001
