사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201612,7호선,어린이대공원(세종대),4,0,3815,870,7932,7701,19391,15471,35334,58357,23066,39820,15449,36267,20670,27790,20266,28218,24242,30848,25199,25699,28748,22106,34739,22139,44985,25247,45996,32440,28214,28304,23076,17625,27478,15917,25031,16056,15987,11665,2895,4220,515,161,1,8,0,0,20170108
201611,7호선,어린이대공원(세종대),4,0,4001,739,8393,7337,20873,16802,36127,72921,23115,49333,14888,56024,18402,36606,25280,32886,25157,39660,28541,30938,35541,23340,44117,22532,59710,25030,55054,32032,32504,28839,26491,17826,30308,15189,28288,16113,16224,11346,2934,4113,1,11,0,0,0,0,20161208
201610,7호선,어린이대공원(세종대),5,0,4279,739,8633,8455,21159,17557,34856,74010,23796,53522,16458,55654,20842,41132,26518,35747,31009,41694,35001,33805,39414,26492,45693,24064,56948,25391,54818,31425,33634,27496,26768,17779,31115,16340,28249,16829,16322,11231,2860,3776,0,0,0,0,0,0,20161108
202302,7호선,중곡,7,2,5642,665,11532,3766,28862,11677,42393,27652,26382,13101,15840,9017,14267,8560,16284,9961,14198,10532,12630,11085,13315,13971,14188,16516,18650,21262,22019,31383,12001,27398,7526,16557,6289,14775,4642,13023,1797,8033,295,2784,0,0,0,0,0,0,20230303
202301,7호선,중곡,0,0,5365,630,11260,3793,27904,10607,41516,26679,26372,13506,15411,8960,13832,8280,15337,9760,13956,10553,12774,11309,13540,14172,13876,16283,18577,21026,21668,30827,11238,27096,7290,15970,6228,14860,4690,12916,1684,7770,292,2791,1,22,0,0,0,0,20230203
202212,7호선,중곡,0,0,5580,695,12448,4156,31492,14376,46331,29828,29175,14475,17499,9506,16288,9502,16677,11025,15701,12042,14243,12633,15245,15877,18822,17744,21065,22558,22792,33725,12126,27865,7811,17246,6733,16041,5101,15160,1931,8977,328,3125,4,33,0,0,0,0,20230103
202211,7호선,중곡,4,0,6019,738,13314,4175,32898,15449,47924,29346,29343,14465,16848,9317,14630,8850,15379,10283,14723,11243,12812,11649,13517,14704,18810,17420,21201,22730,22852,33936,11763,29233,7494,17180,6476,15618,4619,13601,1681,7361,291,2718,0,0,0,0,0,0,20221203
202210,7호선,중곡,5,1,6416,842,13182,4535,31227,15158,43812,29211,28575,13034,17814,9698,15810,9081,15798,10308,15146,11232,13831,11698,13888,14989,19923,17370,21206,22806,21845,33067,12027,27624,8007,17083,6731,15838,5012,14434,1727,8186,274,2422,0,0,0,0,0,0,20221103
202209,7호선,중곡,3,0,5875,707,12727,4269,31464,15758,43684,28481,26638,13347,15961,8945,13872,8456,14439,9754,13981,10587,12476,11459,13398,14246,19706,16422,20575,21255,21677,32190,12078,26872,7664,15734,6546,14971,4699,13305,1689,7755,292,2565,3,12,0,0,0,0,20221003
202208,7호선,중곡,1,1,6108,774,12899,4569,30804,14398,43328,28763,25947,13134,15246,9107,13510,8245,13747,9638,13254,10444,12252,10652,12910,13557,16604,15428,20105,20735,22295,32720,12066,27080,7415,16122,6058,14648,4516,13674,1592,7517,237,2483,0,2,0,0,0,0,20220903
