단속연도,시도명,시군구명,단속동,단속건수,단속원금
2020,서울특별시,송파구,거여1동,1574,62960000
2020,서울특별시,송파구,거여2동,1514,60560000
2020,서울특별시,송파구,거여동,1195,47800000
2020,서울특별시,송파구,마천1동,1954,78160000
2020,서울특별시,송파구,마천2동,3246,129840000
2020,서울특별시,송파구,마천동,357,14280000
2020,서울특별시,송파구,문정1동,2889,115560000
2020,서울특별시,송파구,문정2동,5488,219520000
2020,서울특별시,송파구,문정동,7450,298000000
2020,서울특별시,송파구,방이1동,3481,139240000
2020,서울특별시,송파구,방이2동,6484,259360000
2020,서울특별시,송파구,방이동,2602,104080000
2020,서울특별시,송파구,삼전동,4630,185200000
2020,서울특별시,송파구,석촌동,6774,270960000
2020,서울특별시,송파구,성내동,12,480000
2020,서울특별시,송파구,송파1동,4114,164560000
2020,서울특별시,송파구,송파2동,1271,50840000
2020,서울특별시,송파구,송파구,14,560000
2020,서울특별시,송파구,송파동,1172,46880000
2020,서울특별시,송파구,신천동,6161,246440000
2020,서울특별시,송파구,오금동,4936,197440000
2020,서울특별시,송파구,오륜동,157,6280000
2020,서울특별시,송파구,위례동,609,24360000
2020,서울특별시,송파구,잠실2동,1009,40360000
2020,서울특별시,송파구,잠실3동,2448,97920000
2020,서울특별시,송파구,잠실4동,230,9200000
2020,서울특별시,송파구,잠실5동,6,240000
2020,서울특별시,송파구,잠실6동,2010,80400000
2020,서울특별시,송파구,잠실7동,600,24000000
2020,서울특별시,송파구,잠실동,4567,182680000
2020,서울특별시,송파구,잠실본동,9327,373080000
2020,서울특별시,송파구,장지동,2626,105040000
2020,서울특별시,송파구,풍납1동,957,38280000
2020,서울특별시,송파구,풍납2동,4936,197440000
2020,서울특별시,송파구,풍납동,947,37880000
