시군구,합계면수
강남구,413898
강동구,209959
강북구,96636
강서구,315812
관악구,153960
광진구,134389
구로구,191823
금천구,139148
노원구,178194
도봉구,110933
동대문구,148103
동작구,137661
마포구,199423
서대문구,132942
서초구,310949
성동구,134544
성북구,155254
송파구,339227
양천구,166327
영등포구,203359
용산구,118632
은평구,176603
종로구,92062
중구,109153
중랑구,132884
