날짜,건국대학교병원,건국대학교사범대학부속중학교,뚝섬1주차장,뚝섬2주차장,뚝섬3주차장,뚝섬4주차장,래미안프리미어팰리스주차장,보건복지행정타운,성진강변스파랜드,스테이더디자이너스군자오피스텔주차장,실로암사우나중곡점주차장,연한빌딩,와이엠프라젠스파,편안한요양병원
04-15-06,37.63277693474962,90.0,17.91044776119403,0.0,31.25,18.38235294117647,0.0,100.0,94.9640287769784,76.0,55.38461538461539,6.382978723404255,12.935323383084576,35.38461538461539
04-15-07,45.068285280728375,90.0,61.19402985074627,62.07865168539326,100.0,72.79411764705883,0.0,100.0,94.9640287769784,76.0,67.6923076923077,4.25531914893617,22.388059701492537,35.38461538461539
04-15-08,52.65553869499241,90.0,100.0,100.0,100.0,100.0,0.0,100.0,94.9640287769784,76.0,61.53846153846154,21.27659574468085,18.90547263681592,40.0
04-15-09,59.63581183611532,90.0,100.0,100.0,100.0,100.0,0.0,100.0,94.9640287769784,76.0,56.92307692307692,44.680851063829785,11.940298507462686,44.61538461538462
04-15-10,58.2701062215478,90.0,79.1044776119403,58.70786516853933,99.10714285714286,87.5,0.0,100.0,94.9640287769784,76.0,56.92307692307692,48.93617021276596,15.92039800995025,47.69230769230769
04-15-11,47.344461305007584,90.0,61.19402985074627,24.719101123595504,61.60714285714286,66.17647058823529,0.0,100.0,94.9640287769784,76.0,49.23076923076923,46.80851063829788,11.442786069651742,46.15384615384615
04-15-12,39.90895295902883,90.0,73.13432835820896,36.79775280898877,64.28571428571429,63.23529411764706,0.0,100.0,94.9640287769784,76.0,87.6923076923077,17.02127659574468,13.432835820895525,38.46153846153847
04-15-13,40.9711684370258,90.0,65.67164179104478,39.04494382022472,51.78571428571429,68.38235294117648,0.0,100.0,94.9640287769784,76.0,53.84615384615385,51.06382978723404,6.965174129353234,44.61538461538462
04-15-14,41.88163884673748,90.0,65.67164179104478,30.61797752808989,43.75,81.61764705882352,0.0,100.0,94.9640287769784,76.0,67.6923076923077,53.191489361702125,6.467661691542288,46.15384615384615
04-15-15,44.764795144157816,90.0,68.65671641791045,21.34831460674157,41.07142857142857,96.32352941176472,0.0,100.0,94.9640287769784,76.0,58.46153846153847,55.319148936170215,13.930348258706468,43.07692307692308
04-15-16,44.916540212443095,90.0,83.5820895522388,25.842696629213485,66.96428571428571,100.0,0.0,100.0,94.9640287769784,76.0,49.23076923076923,34.04255319148936,18.90547263681592,44.61538461538462
04-15-17,40.81942336874052,90.0,88.05970149253731,33.98876404494382,89.28571428571429,98.52941176470588,0.0,100.0,94.9640287769784,76.0,58.46153846153847,36.17021276595745,23.383084577114428,46.15384615384615
04-15-18,39.30197268588771,90.0,70.1492537313433,33.42696629213483,89.28571428571429,87.5,0.0,100.0,94.9640287769784,76.0,76.92307692307693,34.04255319148936,21.393034825870647,41.53846153846154
04-15-19,39.60546282245827,90.0,46.26865671641791,29.775280898876407,56.25,72.79411764705883,0.0,100.0,94.9640287769784,76.0,69.23076923076923,42.5531914893617,18.90547263681592,40.0
04-15-20,39.45371775417299,90.0,40.298507462686565,11.235955056179774,57.14285714285714,82.35294117647058,0.0,100.0,94.9640287769784,76.0,66.15384615384615,46.80851063829788,12.437810945273633,40.0
04-15-21,38.39150227617603,90.0,25.37313432835821,11.797752808988765,62.5,75.0,0.0,100.0,94.9640287769784,76.0,53.84615384615385,21.27659574468085,1.4925373134328357,41.53846153846154
04-15-22,34.749620637329286,90.0,13.432835820895525,3.651685393258427,69.64285714285714,83.08823529411765,0.0,100.0,94.9640287769784,76.0,47.69230769230769,23.404255319148938,0.0,36.92307692307693
04-15-23,32.77693474962064,90.0,8.955223880597014,0.0,56.25,55.14705882352941,0.0,100.0,94.9640287769784,76.0,46.15384615384615,17.02127659574468,0.9950248756218906,36.92307692307693
04-16-00,32.32169954476479,90.0,0.0,0.0,42.85714285714285,47.05882352941176,0.0,100.0,94.9640287769784,76.0,40.0,0.0,1.9900497512437807,36.92307692307693
04-16-01,31.86646433990895,90.0,0.0,0.0,40.17857142857143,30.14705882352941,0.0,100.0,94.9640287769784,76.0,44.61538461538462,0.0,1.4925373134328357,36.92307692307693
04-16-02,31.10773899848255,90.0,0.0,0.0,32.142857142857146,27.20588235294117,0.0,100.0,94.9640287769784,76.0,43.07692307692308,0.0,1.9900497512437807,36.92307692307693
04-16-03,30.349013657056144,90.0,0.0,0.0,25.892857142857142,16.176470588235293,0.0,100.0,94.9640287769784,76.0,40.0,0.0,1.4925373134328357,36.92307692307693
04-16-04,30.652503793626707,90.0,0.0,0.0,26.785714285714285,10.294117647058822,0.0,100.0,94.9640287769784,76.0,41.53846153846154,0.0,0.9950248756218906,36.92307692307693
04-16-05,31.25948406676783,90.0,0.0,0.0,24.107142857142858,12.5,0.0,100.0,94.9640287769784,76.0,53.84615384615385,0.0,0.4975124378109453,38.46153846153847
04-16-06,32.16995447647951,90.0,0.0,0.0,22.321428571428573,8.823529411764707,0.0,100.0,94.9640287769784,76.0,63.07692307692307,0.0,8.45771144278607,35.38461538461539
04-16-07,33.23216995447648,90.0,0.0,0.0,25.892857142857142,13.970588235294118,0.0,100.0,94.9640287769784,76.0,78.46153846153847,0.0,16.417910447761194,35.38461538461539
04-16-08,34.59787556904401,90.0,0.0,0.0,24.107142857142858,24.264705882352946,0.0,100.0,94.9640287769784,76.0,80.0,2.127659574468085,16.91542288557214,35.38461538461539
