평균유동인구,평균거주인구,평균직장인구
85619.33333333334,201.0,24.0
74079.16666666666,272.0,32.0
18211.666666666664,106.0,21.0
20739.666666666664,123.0,58.0
252678.6666666667,1072.0,190.0
299572.0,928.0,270.0
227227.3333333333,798.0,186.0
